canonical_perturbation,n_targets,n_cells,n_original_labels,original_labels
ETS2+MAPK1,2,432,1,ETS2+MAPK1
ETS2+PRTG,2,354,1,ETS2+PRTG
ETS2+TGFBR2,2,275,1,TGFBR2+ETS2
FEV,1,647,2,FEV+ctrl;ctrl+FEV
FEV+ISL2,2,272,1,FEV+ISL2
FEV+MAP7D1,2,246,1,FEV+MAP7D1
FOSB,1,502,1,FOSB+ctrl
FOSB+IKZF3,2,204,1,FOSB+IKZF3
FOSB+OSR2,2,324,1,FOSB+OSR2
FOSB+PTPN12,2,291,1,FOSB+PTPN12
FOSB+UBASH3B,2,363,1,FOSB+UBASH3B
FOXA1,1,761,2,FOXA1+ctrl;ctrl+FOXA1
FOXA1+FOXA3,2,181,1,FOXA3+FOXA1
FOXA1+FOXF1,2,237,1,FOXA1+FOXF1
FOXA1+FOXL2,2,179,1,FOXA1+FOXL2
FOXA1+HOXB9,2,266,1,FOXA1+HOXB9
FOXA1+KLF1,2,323,1,KLF1+FOXA1
FOXA3,1,409,1,FOXA3+ctrl
FOXA3+FOXF1,2,146,1,FOXA3+FOXF1
FOXA3+FOXL2,2,113,1,FOXA3+FOXL2
FOXA3+HOXB9,2,301,1,FOXA3+HOXB9
FOXF1,1,715,2,FOXF1+ctrl;ctrl+FOXF1
FOXF1+FOXL2,2,173,1,FOXF1+FOXL2
FOXF1+HOXB9,2,173,1,FOXF1+HOXB9
FOXL2,1,544,2,FOXL2+ctrl;ctrl+FOXL2
FOXL2+HOXB9,2,87,1,FOXL2+HOXB9
FOXL2+MEIS1,2,177,1,FOXL2+MEIS1
FOXL2+POU3F2,2,286,1,POU3F2+FOXL2
FOXL2+ZNF318,2,197,1,ZNF318+FOXL2
FOXO4,1,189,1,FOXO4+ctrl
GLB1L2,1,378,1,GLB1L2+ctrl
HES7,1,122,1,HES7+ctrl
HK2,1,249,1,HK2+ctrl
HNF4A,1,202,1,HNF4A+ctrl
HOXA13,1,230,1,HOXA13+ctrl
HOXB9,1,612,2,HOXB9+ctrl;ctrl+HOXB9
HOXC13,1,343,2,HOXC13+ctrl;ctrl+HOXC13
HOXC13+ZC3HAV1,2,543,1,ZC3HAV1+HOXC13
IER5L,1,327,2,IER5L+ctrl;ctrl+IER5L
IER5L+LYL1,2,547,1,LYL1+IER5L
IGDCC3,1,507,2,IGDCC3+ctrl;ctrl+IGDCC3
IGDCC3+MAPK1,2,293,1,IGDCC3+MAPK1
IGDCC3+PRTG,2,108,1,IGDCC3+PRTG
IGDCC3+TGFBR2,2,262,1,TGFBR2+IGDCC3
IGDCC3+ZBTB25,2,99,1,IGDCC3+ZBTB25
IKZF3,1,583,2,IKZF3+ctrl;ctrl+IKZF3
IKZF3+MAP2K3,2,220,1,MAP2K3+IKZF3
IKZF3+MAP2K6,2,251,1,MAP2K6+IKZF3
IKZF3+MAPK1,2,264,1,MAPK1+IKZF3
IRF1,1,331,1,IRF1+ctrl
IRF1+SET,2,367,1,IRF1+SET
ISL2,1,485,2,ISL2+ctrl;ctrl+ISL2
JUN,1,235,1,JUN+ctrl
KIAA1804,1,212,1,KIAA1804+ctrl
KIF18B,1,212,1,KIF18B+ctrl
KIF18B+KIF2C,2,83,1,KIF18B+KIF2C
KIF2C,1,518,2,KIF2C+ctrl;ctrl+KIF2C
KLF1,1,1641,2,KLF1+ctrl;ctrl+KLF1
KLF1+MAP2K6,2,222,1,KLF1+MAP2K6
KLF1+SET,2,541,1,SET+KLF1
KLF1+TGFBR2,2,263,1,KLF1+TGFBR2
KMT2A,1,185,1,KMT2A+ctrl
LHX1,1,342,1,LHX1+ctrl
LYL1,1,360,1,LYL1+ctrl
MAML2,1,508,1,MAML2+ctrl
MAP2K3,1,458,1,MAP2K3+ctrl
MAP2K3+MAP2K6,2,458,1,MAP2K3+MAP2K6
MAP2K3+SLC38A2,2,297,1,MAP2K3+SLC38A2
MAP2K6,1,741,2,MAP2K6+ctrl;ctrl+MAP2K6
MAP2K6+SPI1,2,242,1,MAP2K6+SPI1
MAP4K3,1,299,1,MAP4K3+ctrl
MAP4K5,1,300,1,MAP4K5+ctrl
MAP7D1,1,635,2,MAP7D1+ctrl;ctrl+MAP7D1
MAPK1,1,660,2,MAPK1+ctrl;ctrl+MAPK1
MAPK1+PRTG,2,380,1,MAPK1+PRTG
MAPK1+TGFBR2,2,389,1,MAPK1+TGFBR2
MEIS1,1,682,2,MEIS1+ctrl;ctrl+MEIS1
MIDN,1,256,1,MIDN+ctrl
NCL,1,197,1,NCL+ctrl
NIT1,1,165,1,NIT1+ctrl
OSR2,1,858,2,OSR2+ctrl;ctrl+OSR2
OSR2+PTPN12,2,283,1,PTPN12+OSR2
OSR2+UBASH3B,2,677,1,UBASH3B+OSR2
PLK4,1,97,1,PLK4+ctrl
PLK4+STIL,2,66,1,PLK4+STIL
POU3F2,1,312,1,POU3F2+ctrl
PRDM1,1,273,1,PRDM1+ctrl
PRTG,1,581,2,PRTG+ctrl;ctrl+PRTG
PRTG+TGFBR2,2,208,1,TGFBR2+PRTG
PTPN1,1,342,1,PTPN1+ctrl
PTPN12,1,358,2,PTPN12+ctrl;ctrl+PTPN12
PTPN12+PTPN9,2,295,1,PTPN12+PTPN9
PTPN12+SAMD1,2,292,1,SAMD1+PTPN12
PTPN12+SNAI1,2,244,1,PTPN12+SNAI1
PTPN12+UBASH3A,2,255,1,PTPN12+UBASH3A
PTPN12+UBASH3B,2,260,1,UBASH3B+PTPN12
PTPN12+ZBTB10,2,230,1,ZBTB10+PTPN12
PTPN12+ZBTB25,2,257,1,PTPN12+ZBTB25
PTPN13,1,226,1,PTPN13+ctrl
PTPN9,1,363,2,PTPN9+ctrl;ctrl+PTPN9
PTPN9+UBASH3B,2,282,1,UBASH3B+PTPN9
RHOXF2BB,1,290,1,RHOXF2BB+ctrl
RHOXF2BB+SET,2,267,1,RHOXF2BB+SET
RHOXF2BB+ZBTB25,2,205,1,RHOXF2BB+ZBTB25
RREB1,1,281,1,RREB1+ctrl
RUNX1T1,1,631,2,RUNX1T1+ctrl;ctrl+RUNX1T1
S1PR2,1,446,1,S1PR2+ctrl
S1PR2+SGK1,2,312,1,SGK1+S1PR2
SAMD1,1,430,2,SAMD1+ctrl;ctrl+SAMD1
SAMD1+TGFBR2,2,59,1,SAMD1+TGFBR2
SAMD1+UBASH3B,2,209,1,SAMD1+UBASH3B
SAMD1+ZBTB1,2,164,1,SAMD1+ZBTB1
SET,1,790,2,SET+ctrl;ctrl+SET
SGK1,1,446,1,SGK1+ctrl
SGK1+TBX2,2,287,1,SGK1+TBX2
SGK1+TBX3,2,243,1,SGK1+TBX3
SLC38A2,1,280,1,ctrl+SLC38A2
SLC4A1,1,853,1,SLC4A1+ctrl
SLC6A9,1,441,1,SLC6A9+ctrl
SNAI1,1,380,2,SNAI1+ctrl;ctrl+SNAI1
SNAI1+UBASH3B,2,256,1,SNAI1+UBASH3B
SNAI1+ZBTB10,2,85,1,ZBTB10+SNAI1
SPI1,1,506,2,SPI1+ctrl;ctrl+SPI1
STIL,1,268,2,STIL+ctrl;ctrl+STIL
TBX2,1,564,2,TBX2+ctrl;ctrl+TBX2
TBX2+TBX3,2,969,1,TBX3+TBX2
TBX3,1,559,2,TBX3+ctrl;ctrl+TBX3
TGFBR2,1,537,2,TGFBR2+ctrl;ctrl+TGFBR2
TMSB4X,1,462,1,TMSB4X+ctrl
TP73,1,218,1,TP73+ctrl
TSC22D1,1,376,1,TSC22D1+ctrl
UBASH3A,1,686,2,UBASH3A+ctrl;ctrl+UBASH3A
UBASH3A+UBASH3B,2,426,1,UBASH3B+UBASH3A
UBASH3B,1,983,2,UBASH3B+ctrl;ctrl+UBASH3B
UBASH3B+ZBTB25,2,224,1,UBASH3B+ZBTB25
ZBTB1,1,602,2,ZBTB1+ctrl;ctrl+ZBTB1
ZBTB10,1,145,1,ZBTB10+ctrl
ZBTB25,1,590,2,ZBTB25+ctrl;ctrl+ZBTB25
ZC3HAV1,1,436,1,ZC3HAV1+ctrl
ZNF318,1,541,1,ZNF318+ctrl
ctrl,0,7353,1,ctrl
