barcode_group,target_gene,n_cells,single_target_cells,double_target_cells,fraction_of_all_group_cells,fraction_of_noncontrol_group_cells
1,SNAI1,169,47,122,0.013619147393021194,0.014823261117445839
1,SPI1,115,66,49,0.009267467160931582,0.01008683448820279
1,STIL,44,30,14,0.0035458135224433877,0.0038593105867906325
1,TBX2,241,75,166,0.01942138770247401,0.021138496623103235
1,TBX3,249,96,153,0.02006608107019099,0.02184018945706517
1,TGFBR2,384,69,315,0.030945281650415022,0.033681256030172795
1,TMSB4X,106,60,46,0.00854218712224998,0.009297430049995614
1,TP73,29,29,0,0.0023370134579740512,0.002543636523112008
1,TSC22D1,43,43,0,0.0034652268514787656,0.0037715989825453907
1,UBASH3A,248,105,143,0.019985494399226367,0.02175247785281993
1,UBASH3B,642,155,487,0.05173664275928761,0.05631084992544513
1,ZBTB1,125,64,61,0.010073333870577806,0.010963950530655206
1,ZBTB10,88,15,73,0.007091627044886775,0.007718621173581265
1,ZBTB25,186,80,106,0.014989120799419777,0.016314358389614945
1,ZC3HAV1,174,53,121,0.014022080747844307,0.015261819138672045
1,ZNF318,117,85,32,0.009428640502860826,0.010262257696693273
2,AHR,125,52,73,0.010943792680791455,0.0119115685153421
2,ARID1A,25,25,0,0.0021887585361582912,0.00238231370306842
2,ARRDC3,47,47,0,0.004114866047977587,0.00447874976176863
2,ATL1,26,26,0,0.0022763088776046225,0.0024776062511911567
2,BAK1,244,144,100,0.02136228331290492,0.02325138174194778
2,BCL2L11,133,57,76,0.011644195412362108,0.012673908900323995
2,BCORL1,54,54,0,0.004727718438101909,0.005145797598627788
2,BPGM,100,42,58,0.008755034144633165,0.00952925481227368
2,C19orf26,151,104,47,0.013220101558396077,0.014389174766533256
2,C3orf72,38,31,7,0.0033269129749606023,0.0036211168286639983
2,CBFA2T3,108,62,46,0.009455436876203817,0.010291595197255575
2,CBL,254,70,184,0.022237786727368238,0.024204307223175146
2,CDKN1A,62,36,26,0.005428121169672562,0.0059081379836096815
2,CDKN1B,57,44,13,0.004990369462440904,0.005431675242995998
2,CDKN1C,39,18,21,0.003414463316406934,0.0037164093767867354
2,CEBPA,165,64,101,0.01444580633864472,0.015723270440251572
2,CEBPB,190,44,146,0.016634564874803012,0.018105584143319992
2,CEBPE,574,122,452,0.050253895990194364,0.05469792262245093
2,CELF2,35,35,0,0.0030642619506216075,0.003335239184295788
2,CITED1,15,15,0,0.0013132551216949746,0.001429388221841052
2,CKS1B,34,34,0,0.0029767116091752757,0.0032399466361730514
2,CLDN6,93,69,24,0.008142181754508843,0.008862206975414523
2,CNN1,367,85,282,0.032130975310803715,0.034972365161044405
2,CNNM4,44,44,0,0.0038522150236385924,0.0041928721174004195
2,COL1A1,29,29,0,0.0025389599019436174,0.0027634838955593673
2,COL2A1,75,48,27,0.006566275608474873,0.00714694110920526
2,CSRNP1,51,51,0,0.004465067413762913,0.004859919954259577
2,DLX2,92,70,22,0.008054631413062511,0.008766914427291786
2,DUSP9,338,94,244,0.029592015408860094,0.03220888126548504
2,EGR1,28,28,0,0.002451409560497286,0.0026681913474366306
2,ELMSAN1,312,105,207,0.027315706531255472,0.029731275014293884
2,ETS2,623,127,496,0.05454386272106461,0.05936725748046503
2,FEV,178,82,96,0.015583960777447031,0.01696207356584715
2,FOSB,235,62,173,0.020574330239887934,0.022393748808843147
2,FOXA1,248,94,154,0.021712484678690247,0.023632551934438726
2,FOXA3,149,53,96,0.013045000875503414,0.014198589670287783
2,FOXF1,178,86,92,0.015583960777447031,0.01696207356584715
2,FOXL2,241,78,163,0.021099632288565925,0.02296550409757957
2,FOXO4,20,20,0,0.001751006828926633,0.001905850962454736
2,GLB1L2,50,50,0,0.0043775170723165824,0.00476462740613684
2,HES7,17,17,0,0.0014883558045876379,0.0016199733180865257
2,HK2,27,27,0,0.0023638592190509543,0.002572898799313894
2,HNF4A,26,26,0,0.0022763088776046225,0.0024776062511911567
2,HOXA13,25,25,0,0.0021887585361582912,0.00238231370306842
2,HOXB9,193,74,119,0.016897215899142008,0.018391461787688204
2,HOXC13,134,46,88,0.01173174575380844,0.012769201448446732
2,IER5L,116,57,59,0.01015583960777447,0.01105393558223747
2,IGDCC3,225,62,163,0.01969882682542462,0.02144082332761578
2,IKZF3,226,75,151,0.019786377166870952,0.021536115875738518
2,IRF1,87,49,38,0.007616879705830853,0.008290451686678102
2,ISL2,83,58,25,0.007266678340045526,0.007909281494187155
2,JUN,56,39,17,0.004902819120994572,0.005336382694873261
2,KIAA1804,22,22,0,0.0019261075118192962,0.0020964360587002098
2,KIF18B,44,40,4,0.0038522150236385924,0.0041928721174004195
2,KIF2C,77,73,4,0.006741376291367536,0.007337526205450734
2,KLF1,610,189,421,0.0534057082822623,0.05812845435486945
2,KMT2A,23,23,0,0.0020136578532656277,0.0021917286068229465
2,LHX1,131,57,74,0.011469094729469446,0.012483323804078522
2,LYL1,124,49,75,0.010856242339345124,0.011816275967219363
2,MAML2,84,84,0,0.007354228681491858,0.008004574042309892
2,MAP2K3,246,62,184,0.021537383995797584,0.023441966838193252
2,MAP2K6,251,70,181,0.021975135703029242,0.023918429578806938
2,MAP4K3,42,42,0,0.003677114340745929,0.004002287021154946
2,MAP4K5,46,46,0,0.0040273157065312554,0.004383457213645893
2,MAP7D1,147,76,71,0.01286990019261075,0.01400800457404231
2,MAPK1,399,87,312,0.034932586237086324,0.03802172670097198
2,MEIS1,125,101,24,0.010943792680791455,0.0119115685153421
2,MIDN,38,38,0,0.0033269129749606023,0.0036211168286639983
2,NCL,27,27,0,0.0023638592190509543,0.002572898799313894
2,NIT1,18,18,0,0.0015759061460339696,0.0017152658662092624
2,OSR2,319,114,205,0.027928558921379795,0.03039832285115304
2,PLK4,23,13,10,0.0020136578532656277,0.0021917286068229465
2,POU3F2,91,34,57,0.007967081071616179,0.00867162187916905
2,PRDM1,38,30,8,0.0033269129749606023,0.0036211168286639983
2,PRTG,214,65,149,0.01873577306951497,0.020392605298265677
2,PTPN1,36,36,0,0.003151812292067939,0.003430531732418525
2,PTPN12,462,45,417,0.04044825774820522,0.0440251572327044
2,PTPN13,38,38,0,0.0033269129749606023,0.0036211168286639983
2,PTPN9,137,40,97,0.011994396778147435,0.013055079092814942
2,RHOXF2BB,103,31,72,0.009017685168972158,0.00981513245664189
2,RREB1,33,33,0,0.002889161267728944,0.0031446540880503146
2,RUNX1T1,216,86,130,0.018910873752407634,0.02058319039451115
2,S1PR2,108,58,50,0.009455436876203817,0.010291595197255575
2,SAMD1,152,50,102,0.013307651899842409,0.014484467314655993
2,SET,290,107,183,0.025389599019436177,0.027634838955593672
2,SGK1,175,51,124,0.015321309753108038,0.01667619592147894
2,SLC38A2,83,43,40,0.007266678340045526,0.007909281494187155
2,SLC4A1,101,101,0,0.008842584486079495,0.009624547360396416
2,SLC6A9,55,55,0,0.00481526877954824,0.005241090146750524
2,SNAI1,158,45,113,0.0138329539485204,0.015056222603392415
2,SPI1,118,63,55,0.010330940290667133,0.011244520678482943
2,STIL,41,31,10,0.003589563999299597,0.0039069944730322085
2,TBX2,234,68,166,0.020486779898441602,0.022298456260720412
2,TBX3,205,63,142,0.017947819996497985,0.019534972365161045
2,TGFBR2,378,72,306,0.03309402906671336,0.036020583190394515
2,TMSB4X,94,54,40,0.008229732095955174,0.00895749952353726
2,TP73,26,26,0,0.0022763088776046225,0.0024776062511911567
2,TSC22D1,41,41,0,0.003589563999299597,0.0039069944730322085
2,UBASH3A,184,88,96,0.016109262826125022,0.017533828854583572
2,UBASH3B,574,141,433,0.050253895990194364,0.05469792262245093
2,ZBTB1,138,80,58,0.012081947119593766,0.013150371640937679
2,ZBTB10,87,16,71,0.007616879705830853,0.008290451686678102
2,ZBTB25,184,64,120,0.016109262826125022,0.017533828854583572
2,ZC3HAV1,211,72,139,0.018473122045175976,0.020106727653897465
2,ZNF318,77,54,23,0.006741376291367536,0.007337526205450734
3,AHR,162,62,100,0.013986013986013986,0.015111940298507463
3,ARID1A,21,21,0,0.001813001813001813,0.001958955223880597
3,ARRDC3,50,50,0,0.00431667098333765,0.0046641791044776115
3,ATL1,44,44,0,0.003798670465337132,0.004104477611940298
3,BAK1,246,155,91,0.021238021238021237,0.022947761194029852
3,BCL2L11,113,50,63,0.009755676422343089,0.010541044776119403
3,BCORL1,63,63,0,0.005439005439005439,0.005876865671641791
3,BPGM,131,55,76,0.011309677976344643,0.012220149253731343
3,C19orf26,118,90,28,0.010187343520676854,0.011007462686567163
3,C3orf72,39,30,9,0.003367003367003367,0.003638059701492537
3,CBFA2T3,125,61,64,0.010791677458344124,0.01166044776119403
3,CBL,223,64,159,0.01925235258568592,0.02080223880597015
3,CDKN1A,56,33,23,0.004834671501338168,0.0052238805970149255
3,CDKN1B,79,54,25,0.006820340153673487,0.007369402985074627
3,CDKN1C,37,17,20,0.003194336527669861,0.003451492537313433
3,CEBPA,178,67,111,0.015367348700682034,0.0166044776119403
3,CEBPB,212,60,152,0.018302684969351637,0.019776119402985074
3,CEBPE,629,127,502,0.05430372097038764,0.05867537313432836
3,CELF2,51,51,0,0.004403004403004403,0.004757462686567164
3,CITED1,21,21,0,0.001813001813001813,0.001958955223880597
3,CKS1B,30,30,0,0.00259000259000259,0.002798507462686567
3,CLDN6,85,59,26,0.007338340671674005,0.00792910447761194
3,CNN1,347,76,271,0.029957696624363293,0.032369402985074625
3,CNNM4,47,47,0,0.004057670724337391,0.004384328358208955
3,COL1A1,40,40,0,0.00345333678667012,0.0037313432835820895
3,COL2A1,94,63,31,0.008115341448674781,0.00876865671641791
3,CSRNP1,51,51,0,0.004403004403004403,0.004757462686567164
3,DLX2,101,81,20,0.008719675386342053,0.009421641791044776
3,DUSP9,337,77,260,0.02909436242769576,0.031436567164179106
3,EGR1,37,37,0,0.003194336527669861,0.003451492537313433
3,ELMSAN1,276,93,183,0.023828023828023827,0.025746268656716417
3,ETS2,642,131,511,0.05542605542605543,0.05988805970149254
3,FEV,196,64,132,0.01692135025468359,0.01828358208955224
3,FOSB,258,76,182,0.022274022274022275,0.024067164179104476
3,FOXA1,223,84,139,0.01925235258568592,0.02080223880597015
3,FOXA3,144,56,88,0.012432012432012432,0.013432835820895522
3,FOXF1,185,99,86,0.015971682638349305,0.017257462686567165
3,FOXL2,246,71,175,0.021238021238021237,0.022947761194029852
3,FOXO4,13,13,0,0.001122334455667789,0.001212686567164179
3,GLB1L2,52,52,0,0.004489337822671156,0.004850746268656716
3,HES7,17,17,0,0.001467668134334801,0.001585820895522388
3,HK2,34,34,0,0.002935336268669602,0.003171641791044776
3,HNF4A,20,20,0,0.00172666839333506,0.0018656716417910447
3,HOXA13,45,45,0,0.003885003885003885,0.004197761194029851
3,HOXB9,187,83,104,0.016144349477682812,0.01744402985074627
3,HOXC13,108,37,71,0.009324009324009324,0.010074626865671642
3,IER5L,101,38,63,0.008719675386342053,0.009421641791044776
3,IGDCC3,243,65,178,0.02097902097902098,0.022667910447761196
3,IKZF3,242,66,176,0.020892687559354226,0.022574626865671642
3,IRF1,97,36,61,0.00837434170767504,0.009048507462686567
3,ISL2,79,45,34,0.006820340153673487,0.007369402985074627
3,JUN,45,32,13,0.003885003885003885,0.004197761194029851
3,KIAA1804,33,33,0,0.002849002849002849,0.003078358208955224
3,KIF18B,34,22,12,0.002935336268669602,0.003171641791044776
3,KIF2C,75,63,12,0.006475006475006475,0.006996268656716418
3,KLF1,657,223,434,0.05672105672105672,0.06128731343283582
3,KMT2A,31,31,0,0.002676336009669343,0.0028917910447761193
3,LHX1,97,35,62,0.00837434170767504,0.009048507462686567
3,LYL1,138,53,85,0.011914011914011913,0.012873134328358208
3,MAML2,48,48,0,0.004144004144004144,0.004477611940298508
3,MAP2K3,241,68,173,0.020806354139687473,0.02248134328358209
3,MAP2K6,321,109,212,0.027713027713027714,0.02994402985074627
3,MAP4K3,36,36,0,0.003108003108003108,0.0033582089552238806
3,MAP4K5,48,48,0,0.004144004144004144,0.004477611940298508
3,MAP7D1,154,85,69,0.013295346628679962,0.014365671641791044
3,MAPK1,409,85,324,0.035310368643701975,0.03815298507462687
3,MEIS1,102,82,20,0.008806008806008805,0.009514925373134328
3,MIDN,28,28,0,0.002417335750669084,0.0026119402985074628
3,NCL,24,24,0,0.002072002072002072,0.002238805970149254
3,NIT1,24,24,0,0.002072002072002072,0.002238805970149254
3,OSR2,291,117,174,0.02512302512302512,0.0271455223880597
3,PLK4,25,16,9,0.002158335491668825,0.0023320895522388058
3,POU3F2,100,35,65,0.0086333419666753,0.009328358208955223
3,PRDM1,47,34,13,0.004057670724337391,0.004384328358208955
3,PRTG,271,100,171,0.023396356729690062,0.025279850746268658
3,PTPN1,40,40,0,0.00345333678667012,0.0037313432835820895
3,PTPN12,452,37,415,0.039022705689372356,0.04216417910447761
3,PTPN13,23,23,0,0.001985668652335319,0.0021455223880597015
3,PTPN9,144,51,93,0.012432012432012432,0.013432835820895522
3,RHOXF2BB,103,34,69,0.008892342225675559,0.009608208955223881
3,RREB1,34,34,0,0.002935336268669602,0.003171641791044776
3,RUNX1T1,212,87,125,0.018302684969351637,0.019776119402985074
3,S1PR2,92,55,37,0.007942674609341276,0.008582089552238806
3,SAMD1,183,56,127,0.015799015799015798,0.01707089552238806
3,SET,339,92,247,0.029267029267029267,0.031623134328358206
3,SGK1,149,54,95,0.012863679530346197,0.013899253731343283
3,SLC38A2,67,35,32,0.005784339117672451,0.00625
3,SLC4A1,124,124,0,0.010705344038677372,0.011567164179104477
3,SLC6A9,63,63,0,0.005439005439005439,0.005876865671641791
3,SNAI1,172,63,109,0.014849348182681516,0.016044776119402984
3,SPI1,116,54,62,0.010014676681343348,0.01082089552238806
3,STIL,48,39,9,0.004144004144004144,0.004477611940298508
3,TBX2,213,83,130,0.01838901838901839,0.019869402985074627
3,TBX3,196,56,140,0.01692135025468359,0.01828358208955224
3,TGFBR2,323,69,254,0.02788569455236122,0.030130597014925372
3,TMSB4X,83,52,31,0.007165673832340499,0.007742537313432836
3,TP73,30,30,0,0.00259000259000259,0.002798507462686567
3,TSC22D1,53,53,0,0.004575671242337909,0.0049440298507462685
3,UBASH3A,201,88,113,0.017353017353017353,0.01875
3,UBASH3B,570,137,433,0.04921004921004921,0.05317164179104478
3,ZBTB1,135,72,63,0.011655011655011656,0.012593283582089552
3,ZBTB10,97,21,76,0.00837434170767504,0.009048507462686567
3,ZBTB25,189,79,110,0.016317016317016316,0.017630597014925375
3,ZC3HAV1,208,65,143,0.017957351290684626,0.019402985074626865
3,ZNF318,111,78,33,0.009583009583009583,0.010354477611940298
4,AHR,125,60,65,0.011760278483394487,0.012813941568426449
4,ARID1A,29,29,0,0.002728384608147521,0.002972834443874936
4,ARRDC3,54,54,0,0.005080440304826418,0.005535622757560226
4,ATL1,36,36,0,0.003386960203217612,0.003690415171706817
4,BAK1,208,136,72,0.019569103396368425,0.021322398769861608
4,BCL2L11,120,60,60,0.011289867344058707,0.01230138390568939
4,BCORL1,52,52,0,0.004892275849092106,0.005330599692465402
4,BPGM,102,46,56,0.009596387242449902,0.010456176319835982
4,C19orf26,102,71,31,0.009596387242449902,0.010456176319835982
4,C3orf72,32,26,6,0.0030106312917489884,0.0032803690415171708
4,CBFA2T3,107,49,58,0.010066798381785681,0.01096873398257304
4,CBL,204,58,146,0.019192774484899804,0.020912352639671963
4,CDKN1A,41,29,12,0.0038573713425533915,0.004202972834443875
4,CDKN1B,61,44,17,0.00573901589989651,0.006253203485392106
4,CDKN1C,35,18,17,0.0032928779753504563,0.0035879036391594054
4,CEBPA,178,71,107,0.01674663656035375,0.018247052793439262
4,CEBPB,209,45,164,0.019663185624235583,0.02142491030240902
4,CEBPE,601,137,464,0.056543418948160694,0.06160943106099436
4,CELF2,58,58,0,0.005456769216295042,0.005945668887749872
4,CITED1,22,22,0,0.0020698090130774295,0.0022552537160430547
4,CKS1B,22,22,0,0.0020698090130774295,0.0022552537160430547
4,CLDN6,98,73,25,0.009220058330981277,0.010046130189646335
4,CNN1,322,79,243,0.0302944773732242,0.03300871348026653
4,CNNM4,53,53,0,0.0049863580769592625,0.005433111225012814
4,COL1A1,29,29,0,0.002728384608147521,0.002972834443874936
4,COL2A1,86,48,38,0.008091071596575407,0.008815991799077397
4,CSRNP1,43,43,0,0.004045535798287704,0.004407995899538698
4,DLX2,114,82,32,0.010725373976855771,0.01168631471040492
4,DUSP9,337,89,248,0.03170571079123154,0.034546386468477706
4,EGR1,29,29,0,0.002728384608147521,0.002972834443874936
4,ELMSAN1,267,90,177,0.025119954840530624,0.02737057919015889
4,ETS2,575,121,454,0.05409728102361464,0.058944131214761664
4,FEV,184,74,110,0.017311129927556686,0.01886212198872373
4,FOSB,227,53,174,0.02135666572584439,0.02327011788826243
4,FOXA1,198,69,129,0.018628281117696866,0.020297283444387495
4,FOXA3,154,48,106,0.014488663091542007,0.015786776012301384
4,FOXF1,174,88,86,0.016370307648885127,0.017837006663249614
4,FOXL2,187,60,127,0.017593376611158153,0.019169656586365966
4,FOXO4,26,26,0,0.002446137924546053,0.002665299846232701
4,GLB1L2,49,49,0,0.004610029165490638,0.005023065094823168
4,HES7,13,13,0,0.0012230689622730266,0.0013326499231163505
4,HK2,33,33,0,0.0031047135196161446,0.0033828805740645823
4,HNF4A,25,25,0,0.0023520556966788973,0.0025627883136852894
4,HOXA13,17,17,0,0.0015993978737416502,0.001742696053305997
4,HOXB9,173,72,101,0.01627622542101797,0.017734495130702205
4,HOXC13,85,40,45,0.007996989368708251,0.008713480266529985
4,IER5L,112,37,75,0.01053720952112146,0.011481291645310098
4,IGDCC3,231,53,178,0.02173299463731301,0.023680164018452077
4,IKZF3,225,67,158,0.021168501270110076,0.023065094823167605
4,IRF1,64,27,37,0.006021262583497977,0.0065607380830343415
4,ISL2,98,60,38,0.009220058330981277,0.010046130189646335
4,JUN,30,14,16,0.002822466836014677,0.0030753459764223477
4,KIAA1804,16,16,0,0.0015053156458744942,0.0016401845207585854
4,KIF18B,36,27,9,0.003386960203217612,0.003690415171706817
4,KIF2C,79,70,9,0.007432496001505316,0.008098411071245515
4,KLF1,628,207,421,0.059083639100573904,0.06437724243977447
4,KMT2A,18,18,0,0.001693480101608806,0.0018452075858534085
4,LHX1,89,33,56,0.008373318280176874,0.009123526396719631
4,LYL1,150,51,99,0.014112334180073384,0.015376729882111738
4,MAML2,68,68,0,0.006397591494966601,0.006970784213223988
4,MAP2K3,251,60,191,0.023614639194656128,0.025730394669400306
4,MAP2K6,272,97,175,0.025590365979866404,0.02788313685289595
4,MAP4K3,37,37,0,0.003481042431084768,0.0037929267042542286
4,MAP4K5,25,25,0,0.0023520556966788973,0.0025627883136852894
4,MAP7D1,118,59,59,0.011101702888324395,0.012096360840594567
4,MAPK1,372,75,297,0.03499858876658199,0.03813429010763711
4,MEIS1,93,75,18,0.008749647191645497,0.009533572526909277
4,MIDN,27,27,0,0.002540220152413209,0.002767811378780113
4,NCL,18,18,0,0.001693480101608806,0.0018452075858534085
4,NIT1,15,15,0,0.0014112334180073384,0.0015376729882111738
4,OSR2,251,94,157,0.023614639194656128,0.025730394669400306
4,PLK4,15,9,6,0.0014112334180073384,0.0015376729882111738
4,POU3F2,94,33,61,0.008843729419512654,0.00963608405945669
4,PRDM1,35,22,13,0.0032928779753504563,0.0035879036391594054
4,PRTG,198,49,149,0.018628281117696866,0.020297283444387495
4,PTPN1,60,60,0,0.005644933672029354,0.006150691952844695
4,PTPN12,426,41,385,0.04007902907140841,0.043669912865197336
4,PTPN13,31,31,0,0.0029165490638818326,0.003177857508969759
4,PTPN9,152,49,103,0.014300498635807696,0.01558175294720656
4,RHOXF2BB,95,40,55,0.00893781164737981,0.009738595592004101
4,RREB1,27,27,0,0.002540220152413209,0.002767811378780113
4,RUNX1T1,225,83,142,0.021168501270110076,0.023065094823167605
4,S1PR2,85,51,34,0.007996989368708251,0.008713480266529985
4,SAMD1,162,53,109,0.015241320914479255,0.016606868272680677
4,SET,302,89,213,0.02841283281588108,0.030958482829318297
4,SGK1,158,55,103,0.014864992003010632,0.01619682214249103
4,SLC38A2,73,38,35,0.00686800263430238,0.007483341875961046
4,SLC4A1,108,108,0,0.010160880609652836,0.011071245515120452
4,SLC6A9,53,53,0,0.0049863580769592625,0.005433111225012814
4,SNAI1,152,34,118,0.014300498635807696,0.01558175294720656
4,SPI1,101,56,45,0.009502305014582746,0.01035366478728857
4,STIL,39,33,6,0.00366920688681908,0.003997949769349052
4,TBX2,224,68,156,0.02107441904224292,0.022962583290620196
4,TBX3,224,71,153,0.02107441904224292,0.022962583290620196
4,TGFBR2,337,64,273,0.03170571079123154,0.034546386468477706
4,TMSB4X,67,45,22,0.006303509267099445,0.006868272680676576
4,TP73,32,32,0,0.0030106312917489884,0.0032803690415171708
4,TSC22D1,39,39,0,0.00366920688681908,0.003997949769349052
4,UBASH3A,176,78,98,0.016558472104619436,0.018042029728344438
4,UBASH3B,456,91,365,0.042901495907423086,0.04674525884161968
4,ZBTB1,115,65,50,0.010819456204722928,0.011788826242952332
4,ZBTB10,76,16,60,0.007150249317903848,0.00779087647360328
4,ZBTB25,140,62,78,0.013171511901401825,0.014351614556637622
4,ZC3HAV1,145,36,109,0.013641923040737605,0.01486417221937468
4,ZNF318,73,59,14,0.00686800263430238,0.007483341875961046
5,AHR,133,59,74,0.012540071657552328,0.013592233009708738
5,ARID1A,25,25,0,0.0023571563266075804,0.0025549310168625446
5,ARRDC3,48,48,0,0.004525740147086555,0.004905467552376086
5,ATL1,44,44,0,0.004148595134829342,0.0044966785896780785
5,BAK1,232,143,89,0.02187441071091835,0.023709759836484413
5,BCL2L11,115,55,60,0.010842919102394872,0.011752682677567705
5,BCORL1,51,51,0,0.0048085989062794645,0.005212059274399591
5,BPGM,114,47,67,0.010748632849330567,0.011650485436893204
5,C19orf26,107,81,26,0.010088629077880445,0.01093510475217169
5,C3orf72,31,25,6,0.0029228738449933998,0.0031681144609095554
5,CBFA2T3,120,60,60,0.011314350367716388,0.012263668880940215
