condition,canonical_perturbation,guide_identity,n_cells
ELMSAN1+ctrl,ELMSAN1,ELMSAN1_NegCtrl0__ELMSAN1_NegCtrl0,353
ETS2+CEBPE,CEBPE+ETS2,ETS2_CEBPE__ETS2_CEBPE,320
ETS2+CNN1,CNN1+ETS2,ETS2_CNN1__ETS2_CNN1,785
ETS2+IGDCC3,ETS2+IGDCC3,ETS2_IGDCC3__ETS2_IGDCC3,365
ETS2+IKZF3,ETS2+IKZF3,ETS2_IKZF3__ETS2_IKZF3,388
ETS2+MAP7D1,ETS2+MAP7D1,ETS2_MAP7D1__ETS2_MAP7D1,265
ETS2+MAPK1,ETS2+MAPK1,ETS2_MAPK1__ETS2_MAPK1,432
ETS2+PRTG,ETS2+PRTG,ETS2_PRTG__ETS2_PRTG,354
ETS2+ctrl,ETS2,ETS2_NegCtrl0__ETS2_NegCtrl0,375
FEV+CBFA2T3,CBFA2T3+FEV,FEV_CBFA2T3__FEV_CBFA2T3,153
FEV+ISL2,FEV+ISL2,FEV_ISL2__FEV_ISL2,272
FEV+MAP7D1,FEV+MAP7D1,FEV_MAP7D1__FEV_MAP7D1,246
FEV+ctrl,FEV,FEV_NegCtrl0__FEV_NegCtrl0,173
FOSB+CEBPB,CEBPB+FOSB,FOSB_CEBPB__FOSB_CEBPB,85
FOSB+CEBPE,CEBPE+FOSB,FOSB_CEBPE__FOSB_CEBPE,142
FOSB+IKZF3,FOSB+IKZF3,FOSB_IKZF3__FOSB_IKZF3,204
FOSB+OSR2,FOSB+OSR2,FOSB_OSR2__FOSB_OSR2,324
FOSB+PTPN12,FOSB+PTPN12,FOSB_PTPN12__FOSB_PTPN12,291
FOSB+UBASH3B,FOSB+UBASH3B,FOSB_UBASH3B__FOSB_UBASH3B,363
FOSB+ctrl,FOSB,FOSB_NegCtrl0__FOSB_NegCtrl0,502
FOXA1+FOXF1,FOXA1+FOXF1,FOXA1_FOXF1__FOXA1_FOXF1,237
FOXA1+FOXL2,FOXA1+FOXL2,FOXA1_FOXL2__FOXA1_FOXL2,179
FOXA1+HOXB9,FOXA1+HOXB9,FOXA1_HOXB9__FOXA1_HOXB9,266
FOXA1+ctrl,FOXA1,FOXA1_NegCtrl0__FOXA1_NegCtrl0,426
FOXA3+FOXA1,FOXA1+FOXA3,FOXA3_FOXA1__FOXA3_FOXA1,181
FOXA3+FOXF1,FOXA3+FOXF1,FOXA3_FOXF1__FOXA3_FOXF1,146
FOXA3+FOXL2,FOXA3+FOXL2,FOXA3_FOXL2__FOXA3_FOXL2,113
FOXA3+HOXB9,FOXA3+HOXB9,FOXA3_HOXB9__FOXA3_HOXB9,301
FOXA3+ctrl,FOXA3,FOXA3_NegCtrl0__FOXA3_NegCtrl0,409
FOXF1+FOXL2,FOXF1+FOXL2,FOXF1_FOXL2__FOXF1_FOXL2,173
FOXF1+HOXB9,FOXF1+HOXB9,FOXF1_HOXB9__FOXF1_HOXB9,173
FOXF1+ctrl,FOXF1,FOXF1_NegCtrl0__FOXF1_NegCtrl0,448
FOXL2+HOXB9,FOXL2+HOXB9,FOXL2_HOXB9__FOXL2_HOXB9,87
FOXL2+MEIS1,FOXL2+MEIS1,FOXL2_MEIS1__FOXL2_MEIS1,177
FOXL2+ctrl,FOXL2,FOXL2_NegCtrl0__FOXL2_NegCtrl0,303
FOXO4+ctrl,FOXO4,FOXO4_NegCtrl0__FOXO4_NegCtrl0,189
GLB1L2+ctrl,GLB1L2,GLB1L2_NegCtrl0__GLB1L2_NegCtrl0,378
HES7+ctrl,HES7,HES7_NegCtrl0__HES7_NegCtrl0,122
HK2+ctrl,HK2,HK2_NegCtrl0__HK2_NegCtrl0,249
HNF4A+ctrl,HNF4A,HNF4A_NegCtrl0__HNF4A_NegCtrl0,202
HOXA13+ctrl,HOXA13,HOXA13_NegCtrl0__HOXA13_NegCtrl0,230
HOXB9+ctrl,HOXB9,HOXB9_NegCtrl0__HOXB9_NegCtrl0,356
HOXC13+ctrl,HOXC13,HOXC13_NegCtrl0__HOXC13_NegCtrl0_1,70
HOXC13+ctrl,HOXC13,HOXC13_NegCtrl0__HOXC13_NegCtrl0_2,81
IER5L+ctrl,IER5L,IER5L_NegCtrl0__IER5L_NegCtrl0,132
IGDCC3+MAPK1,IGDCC3+MAPK1,IGDCC3_MAPK1__IGDCC3_MAPK1,293
IGDCC3+PRTG,IGDCC3+PRTG,IGDCC3_PRTG__IGDCC3_PRTG,108
IGDCC3+ZBTB25,IGDCC3+ZBTB25,IGDCC3_ZBTB25__IGDCC3_ZBTB25,99
IGDCC3+ctrl,IGDCC3,IGDCC3_NegCtrl0__IGDCC3_NegCtrl0,284
IKZF3+ctrl,IKZF3,IKZF3_NegCtrl0__IKZF3_NegCtrl0,374
IRF1+SET,IRF1+SET,IRF1_SET__IRF1_SET,367
IRF1+ctrl,IRF1,IRF1_NegCtrl0__IRF1_NegCtrl0,331
ISL2+ctrl,ISL2,ISL2_NegCtrl0__ISL2_NegCtrl0,272
JUN+CEBPA,CEBPA+JUN,JUN_CEBPA__JUN_CEBPA,70
JUN+CEBPB,CEBPB+JUN,JUN_CEBPB__JUN_CEBPB,52
JUN+ctrl,JUN,JUN_NegCtrl0__JUN_NegCtrl0,235
KIAA1804+ctrl,KIAA1804,KIAA1804_NegCtrl0__KIAA1804_NegCtrl0,212
KIF18B+KIF2C,KIF18B+KIF2C,KIF18B_KIF2C__KIF18B_KIF2C,83
KIF18B+ctrl,KIF18B,KIF18B_NegCtrl0__KIF18B_NegCtrl0,212
KIF2C+ctrl,KIF2C,KIF2C_NegCtrl0__KIF2C_NegCtrl0,270
KLF1+BAK1,BAK1+KLF1,KLF1_BAK1__KLF1_BAK1,323
KLF1+CEBPA,CEBPA+KLF1,KLF1_CEBPA__KLF1_CEBPA,308
KLF1+CLDN6,CLDN6+KLF1,KLF1_CLDN6__KLF1_CLDN6,215
KLF1+COL2A1,COL2A1+KLF1,KLF1_COL2A1__KLF1_COL2A1,251
KLF1+FOXA1,FOXA1+KLF1,KLF1_FOXA1__KLF1_FOXA1,323
KLF1+MAP2K6,KLF1+MAP2K6,KLF1_MAP2K6__KLF1_MAP2K6,222
KLF1+TGFBR2,KLF1+TGFBR2,KLF1_TGFBR2__KLF1_TGFBR2,263
KLF1+ctrl,KLF1,KLF1_NegCtrl0__KLF1_NegCtrl0,997
KMT2A+ctrl,KMT2A,KMT2A_NegCtrl0__KMT2A_NegCtrl0,185
LHX1+ELMSAN1,ELMSAN1+LHX1,LHX1_ELMSAN1__LHX1_ELMSAN1,547
LHX1+ctrl,LHX1,LHX1_NegCtrl0__LHX1_NegCtrl0,342
LYL1+CEBPB,CEBPB+LYL1,LYL1_CEBPB__LYL1_CEBPB,159
LYL1+IER5L,IER5L+LYL1,LYL1_IER5L__LYL1_IER5L,547
LYL1+ctrl,LYL1,LYL1_NegCtrl0__LYL1_NegCtrl0,360
MAML2+ctrl,MAML2,MAML2_NegCtrl0__MAML2_NegCtrl0,508
MAP2K3+ELMSAN1,ELMSAN1+MAP2K3,MAP2K3_ELMSAN1__MAP2K3_ELMSAN1,484
MAP2K3+IKZF3,IKZF3+MAP2K3,MAP2K3_IKZF3__MAP2K3_IKZF3,220
MAP2K3+MAP2K6,MAP2K3+MAP2K6,MAP2K3_MAP2K6__MAP2K3_MAP2K6,458
MAP2K3+SLC38A2,MAP2K3+SLC38A2,MAP2K3_SLC38A2__MAP2K3_SLC38A2,297
MAP2K3+ctrl,MAP2K3,MAP2K3_NegCtrl0__MAP2K3_NegCtrl0,458
MAP2K6+ELMSAN1,ELMSAN1+MAP2K6,MAP2K6_ELMSAN1__MAP2K6_ELMSAN1,365
MAP2K6+IKZF3,IKZF3+MAP2K6,MAP2K6_IKZF3__MAP2K6_IKZF3,251
MAP2K6+SPI1,MAP2K6+SPI1,MAP2K6_SPI1__MAP2K6_SPI1,242
MAP2K6+ctrl,MAP2K6,MAP2K6_NegCtrl0__MAP2K6_NegCtrl0,363
MAP4K3+ctrl,MAP4K3,MAP4K3_NegCtrl0__MAP4K3_NegCtrl0,299
MAP4K5+ctrl,MAP4K5,MAP4K5_NegCtrl0__MAP4K5_NegCtrl0,300
MAP7D1+ctrl,MAP7D1,MAP7D1_NegCtrl0__MAP7D1_NegCtrl0,277
MAPK1+IKZF3,IKZF3+MAPK1,MAPK1_IKZF3__MAPK1_IKZF3,264
MAPK1+PRTG,MAPK1+PRTG,MAPK1_PRTG__MAPK1_PRTG,380
MAPK1+TGFBR2,MAPK1+TGFBR2,MAPK1_TGFBR2__MAPK1_TGFBR2,389
MAPK1+ctrl,MAPK1,MAPK1_NegCtrl0__MAPK1_NegCtrl0,279
MEIS1+ctrl,MEIS1,MEIS1_NegCtrl0__MEIS1_NegCtrl0,292
MIDN+ctrl,MIDN,MIDN_NegCtrl0__MIDN_NegCtrl0,256
NCL+ctrl,NCL,NCL_NegCtrl0__NCL_NegCtrl0,197
NIT1+ctrl,NIT1,NIT1_NegCtrl0__NIT1_NegCtrl0,165
OSR2+ctrl,OSR2,OSR2_NegCtrl0__OSR2_NegCtrl0,407
PLK4+STIL,PLK4+STIL,PLK4_STIL__PLK4_STIL,66
PLK4+ctrl,PLK4,PLK4_NegCtrl0__PLK4_NegCtrl0,97
POU3F2+CBFA2T3,CBFA2T3+POU3F2,POU3F2_CBFA2T3__POU3F2_CBFA2T3,202
POU3F2+FOXL2,FOXL2+POU3F2,POU3F2_FOXL2__POU3F2_FOXL2,286
POU3F2+ctrl,POU3F2,POU3F2_NegCtrl0__POU3F2_NegCtrl0,312
PRDM1+CBFA2T3,CBFA2T3+PRDM1,PRDM1_CBFA2T3__PRDM1_CBFA2T3,109
PRDM1+ctrl,PRDM1,PRDM1_NegCtrl0__PRDM1_NegCtrl0,273
PRTG+ctrl,PRTG,PRTG_NegCtrl0__PRTG_NegCtrl0,285
PTPN1+ctrl,PTPN1,PTPN1_NegCtrl0__PTPN1_NegCtrl0,342
PTPN12+OSR2,OSR2+PTPN12,PTPN12_OSR2__PTPN12_OSR2,283
PTPN12+PTPN9,PTPN12+PTPN9,PTPN12_PTPN9__PTPN12_PTPN9,295
PTPN12+SNAI1,PTPN12+SNAI1,PTPN12_SNAI1__PTPN12_SNAI1,244
PTPN12+UBASH3A,PTPN12+UBASH3A,PTPN12_UBASH3A__PTPN12_UBASH3A,255
PTPN12+ZBTB25,PTPN12+ZBTB25,PTPN12_ZBTB25__PTPN12_ZBTB25,257
PTPN12+ctrl,PTPN12,PTPN12_NegCtrl0__PTPN12_NegCtrl0,194
PTPN13+ctrl,PTPN13,PTPN13_NegCtrl0__PTPN13_NegCtrl0,226
PTPN9+ctrl,PTPN9,PTPN9_NegCtrl0__PTPN9_NegCtrl0,164
RHOXF2BB+SET,RHOXF2BB+SET,RHOXF2_SET__RHOXF2_SET,267
RHOXF2BB+ZBTB25,RHOXF2BB+ZBTB25,RHOXF2_ZBTB25__RHOXF2_ZBTB25,205
RHOXF2BB+ctrl,RHOXF2BB,RHOXF2_NegCtrl0__RHOXF2_NegCtrl0,290
RREB1+ctrl,RREB1,RREB1_NegCtrl0__RREB1_NegCtrl0,281
RUNX1T1+ctrl,RUNX1T1,RUNX1T1_NegCtrl0__RUNX1T1_NegCtrl0,275
S1PR2+ctrl,S1PR2,S1PR2_NegCtrl0__S1PR2_NegCtrl0,446
SAMD1+PTPN12,PTPN12+SAMD1,SAMD1_PTPN12__SAMD1_PTPN12,292
SAMD1+TGFBR2,SAMD1+TGFBR2,SAMD1_TGFBR2__SAMD1_TGFBR2,59
SAMD1+UBASH3B,SAMD1+UBASH3B,SAMD1_UBASH3B__SAMD1_UBASH3B,209
SAMD1+ZBTB1,SAMD1+ZBTB1,SAMD1_ZBTB1__SAMD1_ZBTB1,164
SAMD1+ctrl,SAMD1,SAMD1_NegCtrl0__SAMD1_NegCtrl0,252
SET+CEBPE,CEBPE+SET,SET_CEBPE__SET_CEBPE,529
SET+KLF1,KLF1+SET,SET_KLF1__SET_KLF1,541
SET+ctrl,SET,SET_NegCtrl0__SET_NegCtrl0,512
SGK1+S1PR2,S1PR2+SGK1,SGK1_S1PR2__SGK1_S1PR2,312
SGK1+TBX2,SGK1+TBX2,SGK1_TBX2__SGK1_TBX2,287
SGK1+TBX3,SGK1+TBX3,SGK1_TBX3__SGK1_TBX3,243
SGK1+ctrl,SGK1,SGK1_NegCtrl0__SGK1_NegCtrl0,446
SLC4A1+ctrl,SLC4A1,SLC4A1_NegCtrl0__SLC4A1_NegCtrl0,853
SLC6A9+ctrl,SLC6A9,SLC6A9_NegCtrl0__SLC6A9_NegCtrl0,441
SNAI1+DLX2,DLX2+SNAI1,SNAI1_DLX2__SNAI1_DLX2,107
SNAI1+UBASH3B,SNAI1+UBASH3B,SNAI1_UBASH3B__SNAI1_UBASH3B,256
SNAI1+ctrl,SNAI1,SNAI1_NegCtrl0__SNAI1_NegCtrl0,220
SPI1+ctrl,SPI1,SPI1_NegCtrl0__SPI1_NegCtrl0,170
STIL+ctrl,STIL,STIL_NegCtrl0__STIL_NegCtrl0,127
TBX2+ctrl,TBX2,TBX2_NegCtrl0__TBX2_NegCtrl0,269
TBX3+TBX2,TBX2+TBX3,TBX3_TBX2__TBX3_TBX2,969
TBX3+ctrl,TBX3,TBX3_NegCtrl0__TBX3_NegCtrl0,289
TGFBR2+C19orf26,C19orf26+TGFBR2,TGFBR2_C19orf26__TGFBR2_C19orf26,274
TGFBR2+ETS2,ETS2+TGFBR2,TGFBR2_ETS2__TGFBR2_ETS2,275
TGFBR2+IGDCC3,IGDCC3+TGFBR2,TGFBR2_IGDCC3__TGFBR2_IGDCC3_1,142
TGFBR2+IGDCC3,IGDCC3+TGFBR2,TGFBR2_IGDCC3__TGFBR2_IGDCC3_2,120
TGFBR2+PRTG,PRTG+TGFBR2,TGFBR2_PRTG__TGFBR2_PRTG,208
TGFBR2+ctrl,TGFBR2,TGFBR2_NegCtrl0__TGFBR2_NegCtrl0,209
TMSB4X+BAK1,BAK1+TMSB4X,TMSB4X_BAK1__TMSB4X_BAK1,267
TMSB4X+ctrl,TMSB4X,TMSB4X_NegCtrl0__TMSB4X_NegCtrl0,462
TP73+ctrl,TP73,TP73_NegCtrl0__TP73_NegCtrl0,218
TSC22D1+ctrl,TSC22D1,TSC22D1_NegCtrl0__TSC22D1_NegCtrl0,376
UBASH3A+ctrl,UBASH3A,UBASH3A_NegCtrl0__UBASH3A_NegCtrl0,371
UBASH3B+CNN1,CNN1+UBASH3B,UBASH3B_CNN1__UBASH3B_CNN1,355
UBASH3B+OSR2,OSR2+UBASH3B,UBASH3B_OSR2__UBASH3B_OSR2,677
UBASH3B+PTPN12,PTPN12+UBASH3B,UBASH3B_PTPN12__UBASH3B_PTPN12,260
UBASH3B+PTPN9,PTPN9+UBASH3B,UBASH3B_PTPN9__UBASH3B_PTPN9,282
UBASH3B+UBASH3A,UBASH3A+UBASH3B,UBASH3B_UBASH3A__UBASH3B_UBASH3A,426
UBASH3B+ZBTB25,UBASH3B+ZBTB25,UBASH3B_ZBTB25__UBASH3B_ZBTB25,224
UBASH3B+ctrl,UBASH3B,UBASH3B_NegCtrl0__UBASH3B_NegCtrl0,470
ZBTB1+ctrl,ZBTB1,ZBTB1_NegCtrl0__ZBTB1_NegCtrl0,315
ZBTB10+DLX2,DLX2+ZBTB10,ZBTB10_DLX2__ZBTB10_DLX2,74
ZBTB10+ELMSAN1,ELMSAN1+ZBTB10,ZBTB10_ELMSAN1__ZBTB10_ELMSAN1,161
ZBTB10+PTPN12,PTPN12+ZBTB10,ZBTB10_PTPN12__ZBTB10_PTPN12,230
ZBTB10+SNAI1,SNAI1+ZBTB10,ZBTB10_SNAI1__ZBTB10_SNAI1,85
ZBTB10+ctrl,ZBTB10,ZBTB10_NegCtrl0__ZBTB10_NegCtrl0_1,79
ZBTB10+ctrl,ZBTB10,ZBTB10_NegCtrl0__ZBTB10_NegCtrl0_2,66
ZBTB25+ctrl,ZBTB25,ZBTB25_NegCtrl0__ZBTB25_NegCtrl0,343
ZC3HAV1+CEBPA,CEBPA+ZC3HAV1,ZC3HAV1_CEBPA__ZC3HAV1_CEBPA,124
ZC3HAV1+CEBPE,CEBPE+ZC3HAV1,ZC3HAV1_CEBPE__ZC3HAV1_CEBPE,346
ZC3HAV1+HOXC13,HOXC13+ZC3HAV1,ZC3HAV1_HOXC13__ZC3HAV1_HOXC13,543
ZC3HAV1+ctrl,ZC3HAV1,ZC3HAV1_NegCtrl0__ZC3HAV1_NegCtrl0,436
ZNF318+FOXL2,FOXL2+ZNF318,ZNF318_FOXL2__ZNF318_FOXL2,197
ZNF318+ctrl,ZNF318,ZNF318_NegCtrl0__ZNF318_NegCtrl0,541
ctrl,ctrl,NegCtrl0_NegCtrl0__NegCtrl0_NegCtrl0,2059
ctrl,ctrl,NegCtrl10_NegCtrl0__NegCtrl10_NegCtrl0,2920
ctrl,ctrl,NegCtrl11_NegCtrl0__NegCtrl11_NegCtrl0,2374
ctrl+BAK1,BAK1,NegCtrl0_BAK1__NegCtrl0_BAK1,637
ctrl+C19orf26,C19orf26,NegCtrl0_C19orf26__NegCtrl0_C19orf26,270
ctrl+CBFA2T3,CBFA2T3,NegCtrl0_CBFA2T3__NegCtrl0_CBFA2T3,243
ctrl+CDKN1A,CDKN1A,NegCtrl0_CDKN1A__NegCtrl0_CDKN1A,131
ctrl+CDKN1B,CDKN1B,NegCtrl0_CDKN1B__NegCtrl0_CDKN1B,145
ctrl+CEBPA,CEBPA,NegCtrl0_CEBPA__NegCtrl0_CEBPA,258
ctrl+CEBPB,CEBPB,NegCtrl0_CEBPB__NegCtrl0_CEBPB,182
ctrl+CEBPE,CEBPE,NegCtrl0_CEBPE__NegCtrl0_CEBPE,566
ctrl+CLDN6,CLDN6,NegCtrl0_CLDN6__NegCtrl0_CLDN6,263
ctrl+CNN1,CNN1,NegCtrl0_CNN1__NegCtrl0_CNN1,400
ctrl+COL2A1,COL2A1,NegCtrl0_COL2A1__NegCtrl0_COL2A1,227
ctrl+DLX2,DLX2,NegCtrl0_DLX2__NegCtrl0_DLX2,290
ctrl+ELMSAN1,ELMSAN1,NegCtrl0_ELMSAN1__NegCtrl0_ELMSAN1,430
ctrl+ETS2,ETS2,NegCtrl0_ETS2__NegCtrl0_ETS2,656
ctrl+FEV,FEV,NegCtrl0_FEV__NegCtrl0_FEV,474
ctrl+FOXA1,FOXA1,NegCtrl0_FOXA1__NegCtrl0_FOXA1,335
ctrl+FOXF1,FOXF1,NegCtrl0_FOXF1__NegCtrl0_FOXF1,267
ctrl+FOXL2,FOXL2,NegCtrl0_FOXL2__NegCtrl0_FOXL2,241
ctrl+HOXB9,HOXB9,NegCtrl0_HOXB9__NegCtrl0_HOXB9,256
ctrl+HOXC13,HOXC13,NegCtrl0_HOXC13__NegCtrl0_HOXC13,192
ctrl+IER5L,IER5L,NegCtrl0_IER5L__NegCtrl0_IER5L,195
ctrl+IGDCC3,IGDCC3,NegCtrl0_IGDCC3__NegCtrl0_IGDCC3,223
ctrl+IKZF3,IKZF3,NegCtrl0_IKZF3__NegCtrl0_IKZF3,209
ctrl+ISL2,ISL2,NegCtrl0_ISL2__NegCtrl0_ISL2,213
ctrl+KIF2C,KIF2C,NegCtrl0_KIF2C__NegCtrl0_KIF2C,248
ctrl+KLF1,KLF1,NegCtrl0_KLF1__NegCtrl0_KLF1,644
ctrl+MAP2K6,MAP2K6,NegCtrl0_MAP2K6__NegCtrl0_MAP2K6,378
ctrl+MAP7D1,MAP7D1,NegCtrl0_MAP7D1__NegCtrl0_MAP7D1,358
ctrl+MAPK1,MAPK1,NegCtrl0_MAPK1__NegCtrl0_MAPK1,381
ctrl+MEIS1,MEIS1,NegCtrl0_MEIS1__NegCtrl0_MEIS1,390
ctrl+OSR2,OSR2,NegCtrl0_OSR2__NegCtrl0_OSR2,451
ctrl+PRTG,PRTG,NegCtrl0_PRTG__NegCtrl0_PRTG,296
ctrl+PTPN12,PTPN12,NegCtrl0_PTPN12__NegCtrl0_PTPN12,164
ctrl+PTPN9,PTPN9,NegCtrl0_PTPN9__NegCtrl0_PTPN9,199
ctrl+RUNX1T1,RUNX1T1,NegCtrl0_RUNX1T1__NegCtrl0_RUNX1T1,356
ctrl+SAMD1,SAMD1,NegCtrl0_SAMD1__NegCtrl0_SAMD1,178
ctrl+SET,SET,NegCtrl0_SET__NegCtrl0_SET,278
ctrl+SLC38A2,SLC38A2,NegCtrl0_SLC38A2__NegCtrl0_SLC38A2,280
ctrl+SNAI1,SNAI1,NegCtrl0_SNAI1__NegCtrl0_SNAI1,160
ctrl+SPI1,SPI1,NegCtrl0_SPI1__NegCtrl0_SPI1,336
ctrl+STIL,STIL,NegCtrl0_STIL__NegCtrl0_STIL,141
ctrl+TBX2,TBX2,NegCtrl0_TBX2__NegCtrl0_TBX2,295
ctrl+TBX3,TBX3,NegCtrl0_TBX3__NegCtrl0_TBX3,270
ctrl+TGFBR2,TGFBR2,NegCtrl0_TGFBR2__NegCtrl0_TGFBR2,328
ctrl+UBASH3A,UBASH3A,NegCtrl0_UBASH3A__NegCtrl0_UBASH3A,315
ctrl+UBASH3B,UBASH3B,NegCtrl0_UBASH3B__NegCtrl0_UBASH3B,513
ctrl+ZBTB1,ZBTB1,NegCtrl0_ZBTB1__NegCtrl0_ZBTB1,287
ctrl+ZBTB25,ZBTB25,NegCtrl0_ZBTB25__NegCtrl0_ZBTB25,247
