condition,n_cells,target_genes,n_targets,canonical_perturbation
CEBPB+PTPN12,266,CEBPB+PTPN12,2,CEBPB+PTPN12
CEBPB+ctrl,240,CEBPB,1,CEBPB
CEBPE+CEBPA,240,CEBPA+CEBPE,2,CEBPA+CEBPE
CEBPE+CEBPB,111,CEBPB+CEBPE,2,CEBPB+CEBPE
CEBPE+CNN1,194,CEBPE+CNN1,2,CEBPE+CNN1
CEBPE+KLF1,389,CEBPE+KLF1,2,CEBPE+KLF1
CEBPE+PTPN12,317,CEBPE+PTPN12,2,CEBPE+PTPN12
CEBPE+RUNX1T1,1030,CEBPE+RUNX1T1,2,CEBPE+RUNX1T1
CEBPE+SPI1,175,CEBPE+SPI1,2,CEBPE+SPI1
CEBPE+ctrl,473,CEBPE,1,CEBPE
CELF2+ctrl,388,CELF2,1,CELF2
CITED1+ctrl,169,CITED1,1,CITED1
CKS1B+ctrl,189,CKS1B,1,CKS1B
CLDN6+ctrl,281,CLDN6,1,CLDN6
CNN1+MAPK1,325,CNN1+MAPK1,2,CNN1+MAPK1
CNN1+UBASH3A,144,CNN1+UBASH3A,2,CNN1+UBASH3A
CNN1+ctrl,236,CNN1,1,CNN1
CNNM4+ctrl,376,CNNM4,1,CNNM4
COL1A1+ctrl,257,COL1A1,1,COL1A1
COL2A1+ctrl,247,COL2A1,1,COL2A1
CSRNP1+ctrl,354,CSRNP1,1,CSRNP1
DLX2+ctrl,316,DLX2,1,DLX2
DUSP9+ETS2,698,DUSP9+ETS2,2,DUSP9+ETS2
DUSP9+IGDCC3,323,DUSP9+IGDCC3,2,DUSP9+IGDCC3
DUSP9+KLF1,320,DUSP9+KLF1,2,DUSP9+KLF1
DUSP9+MAPK1,247,DUSP9+MAPK1,2,DUSP9+MAPK1
DUSP9+PRTG,238,DUSP9+PRTG,2,DUSP9+PRTG
DUSP9+SNAI1,168,DUSP9+SNAI1,2,DUSP9+SNAI1
DUSP9+ctrl,662,DUSP9,1,DUSP9
EGR1+ctrl,261,EGR1,1,EGR1
ELMSAN1+ctrl,353,ELMSAN1,1,ELMSAN1
ETS2+CEBPE,320,CEBPE+ETS2,2,CEBPE+ETS2
ETS2+CNN1,785,CNN1+ETS2,2,CNN1+ETS2
ETS2+IGDCC3,365,ETS2+IGDCC3,2,ETS2+IGDCC3
ETS2+IKZF3,388,ETS2+IKZF3,2,ETS2+IKZF3
ETS2+MAP7D1,265,ETS2+MAP7D1,2,ETS2+MAP7D1
ETS2+MAPK1,432,ETS2+MAPK1,2,ETS2+MAPK1
ETS2+PRTG,354,ETS2+PRTG,2,ETS2+PRTG
ETS2+ctrl,375,ETS2,1,ETS2
FEV+CBFA2T3,153,CBFA2T3+FEV,2,CBFA2T3+FEV
FEV+ISL2,272,FEV+ISL2,2,FEV+ISL2
FEV+MAP7D1,246,FEV+MAP7D1,2,FEV+MAP7D1
FEV+ctrl,173,FEV,1,FEV
FOSB+CEBPB,85,CEBPB+FOSB,2,CEBPB+FOSB
FOSB+CEBPE,142,CEBPE+FOSB,2,CEBPE+FOSB
FOSB+IKZF3,204,FOSB+IKZF3,2,FOSB+IKZF3
FOSB+OSR2,324,FOSB+OSR2,2,FOSB+OSR2
FOSB+PTPN12,291,FOSB+PTPN12,2,FOSB+PTPN12
FOSB+UBASH3B,363,FOSB+UBASH3B,2,FOSB+UBASH3B
FOSB+ctrl,502,FOSB,1,FOSB
FOXA1+FOXF1,237,FOXA1+FOXF1,2,FOXA1+FOXF1
FOXA1+FOXL2,179,FOXA1+FOXL2,2,FOXA1+FOXL2
FOXA1+HOXB9,266,FOXA1+HOXB9,2,FOXA1+HOXB9
FOXA1+ctrl,426,FOXA1,1,FOXA1
FOXA3+FOXA1,181,FOXA1+FOXA3,2,FOXA1+FOXA3
FOXA3+FOXF1,146,FOXA3+FOXF1,2,FOXA3+FOXF1
FOXA3+FOXL2,113,FOXA3+FOXL2,2,FOXA3+FOXL2
FOXA3+HOXB9,301,FOXA3+HOXB9,2,FOXA3+HOXB9
FOXA3+ctrl,409,FOXA3,1,FOXA3
FOXF1+FOXL2,173,FOXF1+FOXL2,2,FOXF1+FOXL2
FOXF1+HOXB9,173,FOXF1+HOXB9,2,FOXF1+HOXB9
FOXF1+ctrl,448,FOXF1,1,FOXF1
FOXL2+HOXB9,87,FOXL2+HOXB9,2,FOXL2+HOXB9
FOXL2+MEIS1,177,FOXL2+MEIS1,2,FOXL2+MEIS1
FOXL2+ctrl,303,FOXL2,1,FOXL2
FOXO4+ctrl,189,FOXO4,1,FOXO4
GLB1L2+ctrl,378,GLB1L2,1,GLB1L2
HES7+ctrl,122,HES7,1,HES7
HK2+ctrl,249,HK2,1,HK2
HNF4A+ctrl,202,HNF4A,1,HNF4A
HOXA13+ctrl,230,HOXA13,1,HOXA13
HOXB9+ctrl,356,HOXB9,1,HOXB9
HOXC13+ctrl,151,HOXC13,1,HOXC13
IER5L+ctrl,132,IER5L,1,IER5L
IGDCC3+MAPK1,293,IGDCC3+MAPK1,2,IGDCC3+MAPK1
IGDCC3+PRTG,108,IGDCC3+PRTG,2,IGDCC3+PRTG
IGDCC3+ZBTB25,99,IGDCC3+ZBTB25,2,IGDCC3+ZBTB25
IGDCC3+ctrl,284,IGDCC3,1,IGDCC3
IKZF3+ctrl,374,IKZF3,1,IKZF3
IRF1+SET,367,IRF1+SET,2,IRF1+SET
IRF1+ctrl,331,IRF1,1,IRF1
ISL2+ctrl,272,ISL2,1,ISL2
JUN+CEBPA,70,CEBPA+JUN,2,CEBPA+JUN
JUN+CEBPB,52,CEBPB+JUN,2,CEBPB+JUN
JUN+ctrl,235,JUN,1,JUN
KIAA1804+ctrl,212,KIAA1804,1,KIAA1804
KIF18B+KIF2C,83,KIF18B+KIF2C,2,KIF18B+KIF2C
KIF18B+ctrl,212,KIF18B,1,KIF18B
KIF2C+ctrl,270,KIF2C,1,KIF2C
KLF1+BAK1,323,BAK1+KLF1,2,BAK1+KLF1
KLF1+CEBPA,308,CEBPA+KLF1,2,CEBPA+KLF1
KLF1+CLDN6,215,CLDN6+KLF1,2,CLDN6+KLF1
KLF1+COL2A1,251,COL2A1+KLF1,2,COL2A1+KLF1
KLF1+FOXA1,323,FOXA1+KLF1,2,FOXA1+KLF1
KLF1+MAP2K6,222,KLF1+MAP2K6,2,KLF1+MAP2K6
KLF1+TGFBR2,263,KLF1+TGFBR2,2,KLF1+TGFBR2
KLF1+ctrl,997,KLF1,1,KLF1
KMT2A+ctrl,185,KMT2A,1,KMT2A
LHX1+ELMSAN1,547,ELMSAN1+LHX1,2,ELMSAN1+LHX1
LHX1+ctrl,342,LHX1,1,LHX1
LYL1+CEBPB,159,CEBPB+LYL1,2,CEBPB+LYL1
LYL1+IER5L,547,IER5L+LYL1,2,IER5L+LYL1
LYL1+ctrl,360,LYL1,1,LYL1
MAML2+ctrl,508,MAML2,1,MAML2
MAP2K3+ELMSAN1,484,ELMSAN1+MAP2K3,2,ELMSAN1+MAP2K3
MAP2K3+IKZF3,220,IKZF3+MAP2K3,2,IKZF3+MAP2K3
MAP2K3+MAP2K6,458,MAP2K3+MAP2K6,2,MAP2K3+MAP2K6
MAP2K3+SLC38A2,297,MAP2K3+SLC38A2,2,MAP2K3+SLC38A2
MAP2K3+ctrl,458,MAP2K3,1,MAP2K3
MAP2K6+ELMSAN1,365,ELMSAN1+MAP2K6,2,ELMSAN1+MAP2K6
MAP2K6+IKZF3,251,IKZF3+MAP2K6,2,IKZF3+MAP2K6
MAP2K6+SPI1,242,MAP2K6+SPI1,2,MAP2K6+SPI1
MAP2K6+ctrl,363,MAP2K6,1,MAP2K6
MAP4K3+ctrl,299,MAP4K3,1,MAP4K3
MAP4K5+ctrl,300,MAP4K5,1,MAP4K5
MAP7D1+ctrl,277,MAP7D1,1,MAP7D1
MAPK1+IKZF3,264,IKZF3+MAPK1,2,IKZF3+MAPK1
MAPK1+PRTG,380,MAPK1+PRTG,2,MAPK1+PRTG
MAPK1+TGFBR2,389,MAPK1+TGFBR2,2,MAPK1+TGFBR2
MAPK1+ctrl,279,MAPK1,1,MAPK1
MEIS1+ctrl,292,MEIS1,1,MEIS1
MIDN+ctrl,256,MIDN,1,MIDN
NCL+ctrl,197,NCL,1,NCL
NIT1+ctrl,165,NIT1,1,NIT1
OSR2+ctrl,407,OSR2,1,OSR2
PLK4+STIL,66,PLK4+STIL,2,PLK4+STIL
PLK4+ctrl,97,PLK4,1,PLK4
POU3F2+CBFA2T3,202,CBFA2T3+POU3F2,2,CBFA2T3+POU3F2
POU3F2+FOXL2,286,FOXL2+POU3F2,2,FOXL2+POU3F2
POU3F2+ctrl,312,POU3F2,1,POU3F2
PRDM1+CBFA2T3,109,CBFA2T3+PRDM1,2,CBFA2T3+PRDM1
PRDM1+ctrl,273,PRDM1,1,PRDM1
PRTG+ctrl,285,PRTG,1,PRTG
PTPN1+ctrl,342,PTPN1,1,PTPN1
PTPN12+OSR2,283,OSR2+PTPN12,2,OSR2+PTPN12
PTPN12+PTPN9,295,PTPN12+PTPN9,2,PTPN12+PTPN9
PTPN12+SNAI1,244,PTPN12+SNAI1,2,PTPN12+SNAI1
PTPN12+UBASH3A,255,PTPN12+UBASH3A,2,PTPN12+UBASH3A
PTPN12+ZBTB25,257,PTPN12+ZBTB25,2,PTPN12+ZBTB25
PTPN12+ctrl,194,PTPN12,1,PTPN12
PTPN13+ctrl,226,PTPN13,1,PTPN13
PTPN9+ctrl,164,PTPN9,1,PTPN9
RHOXF2BB+SET,267,RHOXF2BB+SET,2,RHOXF2BB+SET
RHOXF2BB+ZBTB25,205,RHOXF2BB+ZBTB25,2,RHOXF2BB+ZBTB25
RHOXF2BB+ctrl,290,RHOXF2BB,1,RHOXF2BB
RREB1+ctrl,281,RREB1,1,RREB1
RUNX1T1+ctrl,275,RUNX1T1,1,RUNX1T1
S1PR2+ctrl,446,S1PR2,1,S1PR2
SAMD1+PTPN12,292,PTPN12+SAMD1,2,PTPN12+SAMD1
SAMD1+TGFBR2,59,SAMD1+TGFBR2,2,SAMD1+TGFBR2
SAMD1+UBASH3B,209,SAMD1+UBASH3B,2,SAMD1+UBASH3B
SAMD1+ZBTB1,164,SAMD1+ZBTB1,2,SAMD1+ZBTB1
SAMD1+ctrl,252,SAMD1,1,SAMD1
SET+CEBPE,529,CEBPE+SET,2,CEBPE+SET
SET+KLF1,541,KLF1+SET,2,KLF1+SET
SET+ctrl,512,SET,1,SET
SGK1+S1PR2,312,S1PR2+SGK1,2,S1PR2+SGK1
SGK1+TBX2,287,SGK1+TBX2,2,SGK1+TBX2
SGK1+TBX3,243,SGK1+TBX3,2,SGK1+TBX3
SGK1+ctrl,446,SGK1,1,SGK1
SLC4A1+ctrl,853,SLC4A1,1,SLC4A1
SLC6A9+ctrl,441,SLC6A9,1,SLC6A9
SNAI1+DLX2,107,DLX2+SNAI1,2,DLX2+SNAI1
SNAI1+UBASH3B,256,SNAI1+UBASH3B,2,SNAI1+UBASH3B
SNAI1+ctrl,220,SNAI1,1,SNAI1
SPI1+ctrl,170,SPI1,1,SPI1
STIL+ctrl,127,STIL,1,STIL
TBX2+ctrl,269,TBX2,1,TBX2
TBX3+TBX2,969,TBX2+TBX3,2,TBX2+TBX3
TBX3+ctrl,289,TBX3,1,TBX3
TGFBR2+C19orf26,274,C19orf26+TGFBR2,2,C19orf26+TGFBR2
TGFBR2+ETS2,275,ETS2+TGFBR2,2,ETS2+TGFBR2
TGFBR2+IGDCC3,262,IGDCC3+TGFBR2,2,IGDCC3+TGFBR2
TGFBR2+PRTG,208,PRTG+TGFBR2,2,PRTG+TGFBR2
TGFBR2+ctrl,209,TGFBR2,1,TGFBR2
TMSB4X+BAK1,267,BAK1+TMSB4X,2,BAK1+TMSB4X
TMSB4X+ctrl,462,TMSB4X,1,TMSB4X
TP73+ctrl,218,TP73,1,TP73
TSC22D1+ctrl,376,TSC22D1,1,TSC22D1
UBASH3A+ctrl,371,UBASH3A,1,UBASH3A
UBASH3B+CNN1,355,CNN1+UBASH3B,2,CNN1+UBASH3B
UBASH3B+OSR2,677,OSR2+UBASH3B,2,OSR2+UBASH3B
UBASH3B+PTPN12,260,PTPN12+UBASH3B,2,PTPN12+UBASH3B
UBASH3B+PTPN9,282,PTPN9+UBASH3B,2,PTPN9+UBASH3B
UBASH3B+UBASH3A,426,UBASH3A+UBASH3B,2,UBASH3A+UBASH3B
UBASH3B+ZBTB25,224,UBASH3B+ZBTB25,2,UBASH3B+ZBTB25
UBASH3B+ctrl,470,UBASH3B,1,UBASH3B
ZBTB1+ctrl,315,ZBTB1,1,ZBTB1
ZBTB10+DLX2,74,DLX2+ZBTB10,2,DLX2+ZBTB10
ZBTB10+ELMSAN1,161,ELMSAN1+ZBTB10,2,ELMSAN1+ZBTB10
ZBTB10+PTPN12,230,PTPN12+ZBTB10,2,PTPN12+ZBTB10
ZBTB10+SNAI1,85,SNAI1+ZBTB10,2,SNAI1+ZBTB10
ZBTB10+ctrl,145,ZBTB10,1,ZBTB10
ZBTB25+ctrl,343,ZBTB25,1,ZBTB25
ZC3HAV1+CEBPA,124,CEBPA+ZC3HAV1,2,CEBPA+ZC3HAV1
ZC3HAV1+CEBPE,346,CEBPE+ZC3HAV1,2,CEBPE+ZC3HAV1
ZC3HAV1+HOXC13,543,HOXC13+ZC3HAV1,2,HOXC13+ZC3HAV1
ZC3HAV1+ctrl,436,ZC3HAV1,1,ZC3HAV1
ZNF318+FOXL2,197,FOXL2+ZNF318,2,FOXL2+ZNF318
ZNF318+ctrl,541,ZNF318,1,ZNF318
ctrl,7353,,0,ctrl
ctrl+BAK1,637,BAK1,1,BAK1
ctrl+C19orf26,270,C19orf26,1,C19orf26
ctrl+CBFA2T3,243,CBFA2T3,1,CBFA2T3
ctrl+CDKN1A,131,CDKN1A,1,CDKN1A
ctrl+CDKN1B,145,CDKN1B,1,CDKN1B
ctrl+CEBPA,258,CEBPA,1,CEBPA
ctrl+CEBPB,182,CEBPB,1,CEBPB
ctrl+CEBPE,566,CEBPE,1,CEBPE
ctrl+CLDN6,263,CLDN6,1,CLDN6
ctrl+CNN1,400,CNN1,1,CNN1
ctrl+COL2A1,227,COL2A1,1,COL2A1
ctrl+DLX2,290,DLX2,1,DLX2
ctrl+ELMSAN1,430,ELMSAN1,1,ELMSAN1
ctrl+ETS2,656,ETS2,1,ETS2
ctrl+FEV,474,FEV,1,FEV
ctrl+FOXA1,335,FOXA1,1,FOXA1
ctrl+FOXF1,267,FOXF1,1,FOXF1
ctrl+FOXL2,241,FOXL2,1,FOXL2
ctrl+HOXB9,256,HOXB9,1,HOXB9
ctrl+HOXC13,192,HOXC13,1,HOXC13
ctrl+IER5L,195,IER5L,1,IER5L
ctrl+IGDCC3,223,IGDCC3,1,IGDCC3
ctrl+IKZF3,209,IKZF3,1,IKZF3
ctrl+ISL2,213,ISL2,1,ISL2
ctrl+KIF2C,248,KIF2C,1,KIF2C
ctrl+KLF1,644,KLF1,1,KLF1
ctrl+MAP2K6,378,MAP2K6,1,MAP2K6
ctrl+MAP7D1,358,MAP7D1,1,MAP7D1
ctrl+MAPK1,381,MAPK1,1,MAPK1
ctrl+MEIS1,390,MEIS1,1,MEIS1
ctrl+OSR2,451,OSR2,1,OSR2
ctrl+PRTG,296,PRTG,1,PRTG
ctrl+PTPN12,164,PTPN12,1,PTPN12
ctrl+PTPN9,199,PTPN9,1,PTPN9
ctrl+RUNX1T1,356,RUNX1T1,1,RUNX1T1
ctrl+SAMD1,178,SAMD1,1,SAMD1
ctrl+SET,278,SET,1,SET
ctrl+SLC38A2,280,SLC38A2,1,SLC38A2
ctrl+SNAI1,160,SNAI1,1,SNAI1
ctrl+SPI1,336,SPI1,1,SPI1
ctrl+STIL,141,STIL,1,STIL
ctrl+TBX2,295,TBX2,1,TBX2
ctrl+TBX3,270,TBX3,1,TBX3
ctrl+TGFBR2,328,TGFBR2,1,TGFBR2
ctrl+UBASH3A,315,UBASH3A,1,UBASH3A
ctrl+UBASH3B,513,UBASH3B,1,UBASH3B
ctrl+ZBTB1,287,ZBTB1,1,ZBTB1
ctrl+ZBTB25,247,ZBTB25,1,ZBTB25
