condition,1,2,3,4,5,6,7,8
IGDCC3+ctrl,49,33,36,33,31,35,22,45
IGDCC3+PRTG,17,10,10,17,12,11,11,20
IGDCC3+ZBTB25,19,13,14,6,5,16,12,14
IKZF3+ctrl,63,53,38,38,46,47,45,44
IRF1+ctrl,41,49,36,27,40,53,40,45
IRF1+SET,66,38,61,37,35,40,43,47
ISL2+ctrl,31,33,26,33,36,43,41,29
JUN+CEBPA,7,9,5,10,6,7,14,12
JUN+CEBPB,5,8,8,6,5,8,9,3
JUN+ctrl,40,39,32,14,28,26,30,26
KIAA1804+ctrl,29,22,33,16,29,31,28,24
KIF2C+ctrl,30,40,30,38,34,33,23,42
KIF18B+KIF2C,16,4,12,9,5,10,12,15
KIF18B+ctrl,25,40,22,27,26,20,31,21
KLF1+BAK1,60,44,37,34,37,33,35,43
KLF1+CEBPA,41,41,36,45,32,34,40,39
KLF1+CLDN6,27,24,26,25,31,25,29,28
KLF1+COL2A1,34,27,31,38,27,29,31,34
KLF1+FOXA1,43,44,34,35,33,44,57,33
KLF1+MAP2K6,38,28,30,22,23,23,30,28
KLF1+ctrl,149,109,142,111,112,117,134,123
KLF1+TGFBR2,43,29,33,34,20,30,33,41
KMT2A+ctrl,26,23,31,18,22,26,21,18
LHX1+ELMSAN1,78,74,62,56,65,83,63,66
LHX1+ctrl,59,57,35,33,40,34,33,51
LYL1+CEBPB,15,16,22,24,19,22,21,20
LYL1+IER5L,86,59,63,75,69,73,56,66
LYL1+ctrl,44,49,53,51,36,52,34,41
MAML2+ctrl,64,84,48,68,64,60,59,61
MAP2K3+ELMSAN1,60,70,52,65,61,48,61,67
MAP2K3+IKZF3,26,28,31,24,30,24,24,33
MAP2K3+MAP2K6,57,46,58,67,57,59,54,60
MAP2K3+ctrl,58,62,68,60,52,48,48,62
MAP2K3+SLC38A2,46,40,32,35,26,35,42,41
MAP2K6+ELMSAN1,53,46,49,37,37,55,53,35
MAP2K6+IKZF3,39,27,38,22,24,31,33,37
MAP2K6+ctrl,51,32,51,55,33,41,46,54
MAP2K6+SPI1,35,34,37,27,29,25,28,27
MAP4K3+ctrl,52,42,36,37,30,25,35,42
MAP4K5+ctrl,40,46,48,25,39,26,45,31
MAP7D1+ctrl,43,27,33,24,35,42,33,40
MAPK1+IKZF3,44,26,29,33,33,27,40,32
MAPK1+ctrl,41,37,37,27,36,36,42,23
MAPK1+PRTG,50,48,44,41,40,50,41,66
MAPK1+TGFBR2,49,43,45,44,52,63,51,42
MEIS1+ctrl,44,46,31,33,33,30,37,38
MIDN+ctrl,28,38,28,27,33,23,30,49
NCL+ctrl,37,27,24,18,23,23,22,23
NIT1+ctrl,22,18,24,15,27,23,18,18
ctrl+BAK1,75,76,84,75,79,79,91,78
ctrl+C19orf26,40,32,37,29,39,32,29,32
ctrl+CBFA2T3,36,25,30,30,28,38,26,30
ctrl+CDKN1A,16,19,17,16,19,15,10,19
ctrl+CDKN1B,13,15,20,13,20,16,27,21
ctrl+CEBPA,27,31,28,40,26,34,40,32
ctrl+CEBPB,24,15,23,25,20,30,26,19
ctrl+CEBPE,61,62,69,72,67,71,89,75
ctrl+CLDN6,43,38,28,37,32,29,35,21
ctrl+CNN1,51,51,55,42,48,50,57,46
ctrl+COL2A1,34,23,37,26,34,29,19,25
ctrl+DLX2,39,36,46,37,28,35,43,26
ctrl+ELMSAN1,61,52,57,55,49,48,55,53
ctrl+ETS2,72,79,91,75,85,69,99,86
ctrl+FEV,65,61,54,58,69,46,55,66
ctrl+FOXA1,61,42,33,34,40,39,35,51
ctrl+FOXF1,46,34,35,28,31,26,34,33
ctrl+FOXL2,21,36,35,24,27,37,24,37
ctrl+HOXB9,34,26,38,32,30,28,41,27
ctrl+HOXC13,36,28,17,23,18,26,18,26
ctrl+IER5L,36,33,13,19,15,28,22,29
ctrl+IGDCC3,25,29,29,20,27,32,27,34
ctrl+IKZF3,29,22,28,29,17,27,30,27
ctrl+ISL2,30,25,19,27,36,28,20,28
ctrl+KIF2C,28,33,33,32,29,34,32,27
ctrl+KLF1,99,80,81,96,75,84,61,68
ctrl+MAP2K6,56,38,58,42,46,42,32,64
ctrl+MAP7D1,53,49,52,35,43,47,39,40
ctrl+MAPK1,46,50,48,48,53,40,47,49
ctrl+MEIS1,48,55,51,42,45,52,55,42
ctrl,1008,928,863,874,821,976,934,949
ctrl+OSR2,50,54,56,44,50,56,83,58
ctrl+PRTG,41,32,45,29,40,28,41,40
ctrl+PTPN9,20,21,34,26,18,22,29,29
ctrl+PTPN12,22,14,19,17,15,22,30,25
ctrl+RUNX1T1,57,44,39,45,41,40,50,40
ctrl+SAMD1,26,22,24,24,20,16,22,24
ctrl+SET,38,41,37,24,36,32,34,36
ctrl+SLC38A2,40,43,35,38,28,24,27,45
ctrl+SNAI1,15,24,29,15,22,15,21,19
ctrl+SPI1,44,39,31,39,30,44,57,52
ctrl+STIL,13,11,21,23,14,12,28,19
ctrl+TBX2,36,30,51,31,30,34,38,45
ctrl+TBX3,49,27,36,30,31,25,40,32
ctrl+TGFBR2,53,38,41,36,41,35,49,35
ctrl+UBASH3A,46,39,35,44,38,34,38,41
ctrl+UBASH3B,82,88,74,37,63,51,54,64
ctrl+ZBTB1,23,39,36,29,39,38,45,38
ctrl+ZBTB25,34,25,27,26,23,39,36,37
OSR2+ctrl,42,60,61,50,42,54,52,46
PLK4+ctrl,9,13,16,9,13,13,15,9
PLK4+STIL,14,10,9,6,7,7,5,8
POU3F2+CBFA2T3,26,25,31,27,27,20,28,18
POU3F2+FOXL2,48,32,34,34,40,31,26,41
POU3F2+ctrl,41,34,35,33,41,43,47,38
PRDM1+CBFA2T3,24,8,13,13,18,11,7,15
PRDM1+ctrl,45,30,34,22,31,40,34,37
PRTG+ctrl,30,33,55,20,29,32,35,51
PTPN1+ctrl,38,36,40,60,30,40,46,52
PTPN9+ctrl,22,19,17,23,30,21,13,19
PTPN12+ctrl,23,31,18,24,26,28,21,23
PTPN12+OSR2,38,41,28,27,34,38,25,52
PTPN12+PTPN9,48,37,32,40,36,32,35,35
PTPN12+SNAI1,34,31,38,23,29,27,31,31
PTPN12+UBASH3A,42,30,30,28,28,25,44,28
PTPN12+ZBTB25,29,38,36,34,31,25,35,29
PTPN13+ctrl,30,38,23,31,26,30,29,19
RHOXF2BB+ctrl,41,31,34,40,36,28,52,28
RHOXF2BB+SET,22,36,42,33,35,32,26,41
RHOXF2BB+ZBTB25,23,36,27,22,18,23,26,30
RREB1+ctrl,47,33,34,27,30,27,48,35
RUNX1T1+ctrl,35,42,48,38,26,32,21,33
S1PR2+ctrl,62,58,55,51,43,53,61,63
SAMD1+ctrl,30,28,32,29,26,39,36,32
SAMD1+PTPN12,34,38,37,38,28,41,38,38
SAMD1+TGFBR2,11,7,7,5,6,10,6,7
SAMD1+UBASH3B,30,25,24,22,19,26,27,36
SAMD1+ZBTB1,24,16,23,19,17,16,24,25
SET+CEBPE,65,58,76,67,71,63,70,59
SET+KLF1,80,51,68,76,67,60,65,74
SET+ctrl,67,66,55,65,58,56,74,71
SGK1+ctrl,58,51,54,55,56,44,72,56
SGK1+S1PR2,43,50,37,34,38,36,39,35
SGK1+TBX2,41,49,24,36,29,29,43,36
SGK1+TBX3,28,25,34,33,28,36,31,28
SLC4A1+ctrl,103,101,124,108,91,107,117,102
SLC6A9+ctrl,61,55,63,53,33,63,64,49
SNAI1+DLX2,13,9,8,23,17,9,11,17
SNAI1+ctrl,32,21,34,19,22,37,28,27
SNAI1+UBASH3B,47,33,28,41,23,29,26,29
SPI1+ctrl,22,24,23,17,11,22,25,26
STIL+ctrl,17,20,18,10,13,13,16,20
TBX2+ctrl,39,38,32,37,30,35,31,27
TBX3+ctrl,47,36,20,41,35,35,37,38
TBX3+TBX2,125,117,106,120,114,136,135,116
TGFBR2+C19orf26,37,47,28,31,26,28,33,44
TGFBR2+ETS2,35,29,31,37,26,44,29,44
TGFBR2+IGDCC3,31,32,37,41,34,42,20,25
TGFBR2+ctrl,16,34,28,28,30,26,25,22
TGFBR2+PRTG,35,24,21,23,17,30,22,36
TMSB4X+BAK1,46,40,31,22,33,26,31,38
TMSB4X+ctrl,60,54,52,45,57,51,73,70
TP73+ctrl,29,26,30,32,20,25,25,31
TSC22D1+ctrl,43,41,53,39,44,56,48,52
UBASH3A+ctrl,59,49,53,34,43,58,40,35
UBASH3B+CNN1,59,53,44,43,45,43,34,34
UBASH3B+ctrl,73,53,63,54,50,71,48,58
UBASH3B+OSR2,86,91,83,61,83,86,96,91
UBASH3B+PTPN9,40,34,38,31,43,30,39,27
UBASH3B+PTPN12,28,29,31,28,29,35,34,46
UBASH3B+UBASH3A,73,44,63,51,43,43,52,57
UBASH3B+ZBTB25,35,33,33,16,27,33,26,21
ZBTB1+ctrl,41,41,36,36,42,47,34,38
ZBTB10+DLX2,6,13,12,9,7,8,11,8
ZBTB10+ELMSAN1,22,17,20,19,22,18,20,23
ZBTB10+ctrl,15,16,21,16,18,22,21,16
ZBTB10+PTPN12,37,24,30,20,26,30,31,32
ZBTB10+SNAI1,8,17,14,12,7,8,10,9
ZBTB25+ctrl,46,39,52,36,37,41,46,46
ZC3HAV1+CEBPA,16,14,24,21,11,12,11,15
ZC3HAV1+CEBPE,36,37,48,43,48,46,39,49
ZC3HAV1+HOXC13,69,88,71,45,59,66,70,75
ZC3HAV1+ctrl,53,72,65,36,47,54,56,53
ZNF318+FOXL2,32,23,33,14,16,26,28,25
ZNF318+ctrl,85,54,78,59,56,54,78,77
