canonical_perturbation,original_condition_labels,construct_pooling_caveat,total_n,minimum_lane_n,effect_rms,mean_positive_lane_fraction,se_undefined_lane_n_lt_2,lolo_max_rms_change,top10_up_genes,top10_down_genes
CKS1B,CKS1B+ctrl,False,189,17,0.06196278209502682,0.1507185332011893,False,0.006720650309126697,APOE|APOC1|MFGE8|HBZ|UGP2|REEP6|HIST1H1C|IQGAP2|PKDCC|BLVRB,GAL|UBE2S|CACYBP|LDHA|TEX30|DDX21|PSMB2|CLIC1|ATP6V0B|NME1
PRTG,PRTG+ctrl|ctrl+PRTG,True,581,49,0.061375967035079894,0.19645688800792865,False,0.0037139081339220546,HBZ|ALAS2|HBG2|GYPB|HBG1|PRTG|SMIM1|MALAT1|NEAT1|GYPA,RP11-301G19.1|MPC2|UBE2S|STMN1|HIST1H4C|TEX30|RANBP1|PRSS57|MT-ND4|MT-CYB
NIT1,NIT1+ctrl,False,165,15,0.060015777288691154,0.17398414271555995,False,0.007926675271418241,S100A13|MDK|APOE|NEAT1|PSAP|PRDX5|HIST1H2BD|GYPA|AAK1|BTG2,HIST1H4C|NME1|RP11-301G19.1|PTMA|SRM|HBZ|PPP1R14A|ANP32E|TEX30|COMT
CDKN1C,CDKN1C+ctrl,False,165,15,0.05938260825857306,0.17056491575817642,False,0.006210965417139157,HBZ|HBG2|RP11-717F1.1|ALAS2|CDKN1C|HBG1|NEAT1|GYPB|BCYRN1|FADS1,HIST1H4C|HMGB2|TUBA1B|STMN1|CKS1B|RANBP1|PRDX1|CACYBP|UBE2S|TEX30
CDKN1A,CDKN1A+ctrl|ctrl+CDKN1A,True,275,29,0.05816245219650405,0.18213577799801783,False,0.00528225466114645,HBZ|HBG2|CDKN1A|RP11-717F1.1|ALAS2|HBG1|NEAT1|GYPB|BCYRN1|SLC25A37,HIST1H4C|HMGB2|TUBA1B|CACYBP|CKS1B|CLIC1|PTMA|PRDX1|RANBP1|HSP90AA1
FOXO4,FOXO4+ctrl,False,189,13,0.0581452223939622,0.13882556987115957,False,0.00696643310688521,SEPP1|S100A13|FOXO4|TPP1|YPEL3|NEAT1|ACSM3|APOE|HBZ|ALAS2,UBE2S|PHF19|CLIC1|CACYBP|HIST1H4C|CKS1B|LDHA|MT-ND6|ODC1|KCNH2
OSR2,OSR2+ctrl|ctrl+OSR2,True,858,92,0.057905043090385674,0.26932606541129833,False,0.0030128288205388473,MPZL1|PIM1|AIF1|PRSS57|OSR2|SOCS1|LST1|SH3BGRL3|S100A11|LGALS1,HBZ|HBG2|GYPA|MYL4|PITX1|RP11-717F1.1|GYPB|GAL|HBG1|APOC1
C3orf72,C3orf72+ctrl,False,217,20,0.057678502350466794,0.16937561942517343,False,0.006768963698668104,NEAT1|ALAS2|PDE4DIP|TSC22D1|MALAT1|FOXL2|AP001171.1|S100A13|MSRB1|GYPB,GAL|UBE2S|SRM|TEX30|NME1|HMGB2|RANBP1|DDX21|CACYBP|HSP90AB1
CITED1,CITED1+ctrl,False,169,15,0.057497915163621086,0.16097621407333995,False,0.007980918664928678,NEAT1|MALAT1|CITED1|CSF3R|CREM|SERPINB1|JUND|SH3BGRL3|GATA2|RP11-717F1.1,NME1|PTMA|RANBP1|PHF19|SRM|CKS1B|LDHA|HIST1H4C|CACYBP|PITX1
TBX2,TBX2+ctrl|ctrl+TBX2,True,564,60,0.05705860207465798,0.18372150644202181,False,0.0034253928550927746,TMEM54|HBG2|RP11-717F1.1|GSTP1|CD7|MYL4|TBX2|HBG1|NEAT1|MALAT1,PRSS57|TMSB10|TEX30|ACTG1|UBE2S|GYPB|HBZ|CTSL|LDHA|CELF2
CNN1,CNN1+ctrl|ctrl+CNN1,True,636,67,0.05701476764034298,0.16335480673934588,False,0.0029609765196014414,HBZ|CNN1|SLC25A37|HBG2|HBA1|COL18A1|APOE|TESC|ALAS2|ZFP36L1,PRSS57|UBE2S|EMP3|S100A11|TEX30|ATP6V0B|TMSB4X|LY6E|SH3BGRL3|PTPN7
KLF1,KLF1+ctrl|ctrl+KLF1,True,1641,187,0.056845930250141195,0.21788899900891973,False,0.0018798442173128807,HBZ|HBG2|TMSB10|PNMT|HBG1|KLF1|HBA1|BLVRB|ANXA2|GAL,IFITM2|RP11-301G19.1|AIF1|PPP1R14A|IDH2|STMN1|SMYD3|AC079466.1|HIST1H1C|QPRT
ZBTB1,ZBTB1+ctrl|ctrl+ZBTB1,True,602,64,0.05659050962465175,0.19563924677898908,False,0.00367064141680991,HBZ|HBG2|NEAT1|CYBA|HBA1|BLVRB|HBG1|GYPB|MALAT1|HBA2,ACTG1|PRSS57|MARCKSL1|EMP3|PTMA|LDHA|PRDX1|LY6E|UBE2S|HIST1H4C
S1PR2,S1PR2+ctrl,False,446,43,0.05610378063593403,0.18166501486620415,False,0.004086364511459198,HBZ|HBG2|HBA1|LYL1|HBG1|ID3|KRT18|IGFBP2|KRT8|HBA2,KCNH2|TMSB10|TEX30|PTMA|CMTM6|GAL|PHF19|PRSS57|TMSB4X|LDHA
IER5L,IER5L+ctrl|ctrl+IER5L,True,327,20,0.055678136639586165,0.183201189296333,False,0.005537840092754588,HBZ|GYPB|HBG2|SH3BGRL3|GYPA|ALAS2|NEAT1|IER5L|NENF|HBG1,GAL|PRDX1|VIM|PRDX4|NME1|ENO1|FABP5|CACYBP|NUDC|LDHA
JUN,JUN+ctrl,False,235,14,0.05546602245719862,0.16362735381565907,False,0.006617453578417178,COL18A1|MALAT1|BTG2|JUN|NEAT1|IGFBP2|MAOB|HBG2|GSTP1|LGALS1,GAL|HBZ|UBE2S|PRSS57|CACYBP|SRM|HSP90AB1|KCNH2|LDHA|HSPA8
IGDCC3,IGDCC3+ctrl|ctrl+IGDCC3,True,507,49,0.054442614390689946,0.1867938553022795,False,0.003752160284882261,HBZ|IGDCC3|ALAS2|HBG2|GYPB|MALAT1|HBG1|NEAT1|GMPPA|BST2,RP11-301G19.1|TEX30|UBE2S|HIST1H4C|PRSS57|STMN1|HMGB2|MPC2|RANBP1|CACYBP
SAMD1,SAMD1+ctrl|ctrl+SAMD1,True,430,46,0.05383354900347501,0.2020812685827552,False,0.004182510091666599,HBZ|MALAT1|HBG2|APOE|FAM83A|NEAT1|HBA1|AC006262.5|HBG1|ALAS2,UBE2S|PRSS57|ODC1|TEX30|CACYBP|SET|PHF19|PTMA|RANBP1|SDF2L1
LHX1,LHX1+ctrl,False,342,33,0.05273340169566357,0.18238354806739346,False,0.005363281203766924,LHX1|RP11-445F12.1|FEV|FADS1|NEAT1|ARPC1B|APOE|AIF1|MSN|ANXA3,HBZ|MARCKSL1|GAL|CST3|KCNH2|HSP90AB1|NME1|CACYBP|MYL4|ODC1
BPGM,BPGM+ctrl,False,393,42,0.05206176412000488,0.15379088206144698,False,0.0038273427923089082,HBZ|HBG2|AMHR2|ALAS2|BPGM|GYPB|COL18A1|BLVRB|HBG1|HIST1H1C,TMSB10|PRSS57|TMSB4X|LDHA|TEX30|LY6E|RP11-301G19.1|MT-CYB|MT-ND4L|HSP90AA1
SLC4A1,SLC4A1+ctrl,False,853,91,0.05200837395708983,0.18942021803766104,False,0.0028504115897253993,AP003068.23|IFITM2|SLC4A1|MDK|GAL|BCYRN1|PDPN|SVIP|MPC2|SOCS1,APOC1|APOE|HBZ|VIM|PPP1R14A|HIST1H1C|BSG|PRDX1|GAPDH|TEX30
AHR,AHR+ctrl,False,479,48,0.050663211181435665,0.2120416253716551,False,0.004145510693926988,TESC|SH3BGRL3|HBG2|GYPB|MALAT1|HBZ|RSAD2|LGALS1|APOE|SLC25A37,MT-ND4|MT-CYB|MT-ND5|GAL|MT-ATP6|MT-ND3|MT-ND4L|MT-CO3|PRDX4|CACYBP
SGK1,SGK1+ctrl,False,446,44,0.049891622808085956,0.18050049554013875,False,0.00395391229164636,HBG2|MALAT1|SGK1|NEAT1|HBG1|AC006262.5|ANXA2|COL18A1|TESC|CSF3R,PRSS57|GAL|UBE2S|NME1|CACYBP|TEX30|EMP3|DDX21|NCL|RANBP1
SNAI1,SNAI1+ctrl|ctrl+SNAI1,True,380,34,0.047997759852240224,0.18889990089197226,False,0.004456276014838875,SOCS2|S100A13|RNASET2|LGALS1|MALAT1|VIM|TMSB10|ALAS2|MDK|ATF7IP2,HIST1H1C|HBG2|RP11-717F1.1|HBZ|PHF19|SVIP|ODC1|CKB|CFD|GAL
ETS2,ETS2+ctrl|ctrl+ETS2,True,1031,111,0.04753227852517768,0.2320366699702676,False,0.002839273623969586,AIF1|SH3BGRL3|TMSB4X|GMFG|GPSM3|IFITM2|ETS2|S100A11|ARHGDIB|MSN,HBG2|HBZ|GAL|HBG1|APOC1|AC079466.1|CTSL|RP11-717F1.1|APOE|MDK
FOSB,FOSB+ctrl,False,502,52,0.0470527887576369,0.2177155599603568,False,0.0038535420272790785,SH3BGRL3|MS4A3|LST1|AIF1|VIM|MSN|LGALS1|LMO4|TPM4|RP11-301G19.1,GYPB|APOE|GYPA|RP11-717F1.1|ATF7IP2|HBG2|LAPTM4B|MYL4|GSTP1|CKB
FOXL2,FOXL2+ctrl|ctrl+FOXL2,True,544,59,0.046332807603750976,0.20693756194251733,False,0.003749459221823479,FOXL2|TSC22D1|MALAT1|NEAT1|AP001171.1|AC006262.5|RP11-301G19.1|AC079466.1|MSRB1|ALAS2,HBZ|GAL|NME1|MYL4|SRM|DDX21|TEX30|HIST1H1C|UBE2S|RANBP1
CDKN1B,CDKN1B+ctrl|ctrl+CDKN1B,True,413,44,0.04571676912134065,0.19021308225966302,False,0.004183973894987349,HBZ|HBG2|ALAS2|CDKN1C|IGFBP4|SLC25A37|HBG1|HBA1|BCYRN1|PSAP,HIST1H4C|HMGB2|TUBA1B|STMN1|PTMA|RANBP1|DEK|PRDX1|CKS1B|CACYBP
HOXB9,HOXB9+ctrl|ctrl+HOXB9,True,612,65,0.04564599997850331,0.22336471754212092,False,0.004007049470081205,HOXB9|MALAT1|NEAT1|HES1|HBG2|RP11-301G19.1|GSN|LGALS1|AIF1|PYCARD,GAL|HBZ|PITX1|NME1|SRM|CACYBP|RANBP1|DDX21|ODC1|PTMA
DLX2,DLX2+ctrl|ctrl+DLX2,True,606,59,0.04390640738769811,0.17626362735381565,False,0.003438557119480836,RNASET2|BTG2|DLX2|VIM|ANXA3|BST2|BATF3|PRSS57|RP11-301G19.1|GAD1,HBZ|HBG2|HBG1|HIST1H1C|GAL|MYL4|TESC|HIST1H2BJ|UBE2S|HSP90AA1
CNNM4,CNNM4+ctrl,False,376,35,0.04356337057501023,0.16273538156590683,False,0.004388113905207483,HBZ|GYPB|GYPA|NEAT1|GYPE|DSCR8|FAM19A2|PGA5|CCND3|MYLIP,HBG2|KCNH2|RP11-301G19.1|VIM|CTSL|UBE2S|HBG1|PPP1R14A|GAL|PITX1
FOXA3,FOXA3+ctrl,False,409,38,0.043549788333925844,0.19558969276511398,False,0.004100772117241944,GYPB|LYZ|KRT8|ALAS2|FOXA3|ATF7IP2|SMYD3|SEPP1|TRAPPC6A|MALAT1,GAL|HIST1H4C|TEX30|UBE2S|CACYBP|CKS1B|RANBP1|LDHA|NME1|PTMA
PTPN12,PTPN12+ctrl|ctrl+PTPN12,True,358,37,0.04354726229063518,0.15661546085232902,False,0.004116985473900381,HBZ|HBG2|BLVRB|PTPN12|APOC1|HIST1H1C|APOE|SLC25A37|HBA1|NEAT1,PRSS57|S100A11|PDE4DIP|ACTG1|SMYD3|CLIC1|ARPC1B|TEX30|TMSB10|ATP6V0B
CBL,CBL+ctrl,False,538,56,0.04323833434409928,0.16808721506442023,False,0.0033341459999780684,HBZ|CD99|HBG2|ALAS2|HBG1|GYPB|COL18A1|SLC25A37|BLVRB|HBA1,PRSS57|CLIC1|LY6E|TEX30|EMP3|GMFG|PRDX1|S100A11|ACTG1|PTPN7
RREB1,RREB1+ctrl,False,281,27,0.04247159478928651,0.15552527254707632,False,0.005023267568993324,HBZ|FAM210B|FAM83A|HBA1|MALAT1|RNF223|APOE|BSG|CHI3L2|ALAS2,NME1|PHF19|SH3BGRL3|UBE2S|IFITM2|PSMA4|ODC1|HN1|IGFBP2|FABP5
PTPN13,PTPN13+ctrl,False,226,19,0.04123216672625359,0.15901883052527255,False,0.005559417086988085,COL18A1|PIM1|ENG|FADS1|ID3|LYL1|HBZ|TAL2|MALAT1|APOE,LMO2|UBE2S|GAL|SRM|CMTM6|ODC1|PITX1|PHF19|TEX30|KCNH2
POU3F2,POU3F2+ctrl,False,312,33,0.04022271677125232,0.16655104063429138,False,0.004748829140411853,POU3F2|GYPB|HBG2|AC079466.1|GYPA|FAM19A2|MALAT1|NEAT1|ALAS2|HBG1,PRDX1|KCNH2|FABP5|VIM|GAL|TEX30|PRSS57|TMSB10|NPM1|HSP90AB1
ZBTB25,ZBTB25+ctrl|ctrl+ZBTB25,True,590,60,0.03998337343485157,0.16513875123885036,False,0.003218679897566942,HBZ|MIR4458HG|HBG2|HIST1H1C|BLVRB|HBG1|SLC25A37|GYPB|NEAT1|HBA1,PHF19|COMT|TMSB10|TMSB4X|LY6E|PRSS57|TMEM54|MDK|LGALS1|CLIC1
EGR1,EGR1+ctrl,False,261,28,0.03826831848274656,0.16674925668979187,False,0.004864386112225176,HBZ|SH3BGRL3|MALAT1|HBG2|NEAT1|BLVRB|ALAS2|CD52|RP11-717F1.1|TMSB10,GAL|VIM|CTSL|PRSS57|FABP5|PRDX1|HSPD1|TEX30|MYC|PSMA4
GLB1L2,GLB1L2+ctrl,False,378,36,0.03778476471157656,0.18025272547076313,False,0.004077802145500904,TIMP1|SLC44A1|PMP22|CTNNB1|FBLN2|APOE|NEAT1|MALAT1|GLB1L2|VIM,GAL|PRDX1|UBE2S|CACYBP|RANBP1|LDHA|PSMA4|HSP90AA1|PSMB2|UFD1L
TMSB4X,TMSB4X+ctrl,False,462,45,0.03645499779070928,0.16469276511397424,False,0.0037379156442838984,TMSB4X|ACTB|ACTG1|TPM4|HBG2|HBZ|ARPC5|HIST1H1C|FLNA|MYL6,CTSL|GAL|ENO1|PRDX1|MDK|GSTP1|HSP90AA1|APOC1|AC079466.1|FABP5
SLC6A9,SLC6A9+ctrl,False,441,33,0.03590547717835196,0.19841427155599603,False,0.004188095297297391,HBZ|HBG2|HSPA8|SLC6A9|MALAT1|MYL4|APOE|HBG1|HBA1|PTPN7,PRDX1|LAPTM4B|PRSS57|DYNLL1|HIST1H4C|PPP1R14A|MT-ND6|NME1|CACYBP|PRDX4
CBFA2T3,CBFA2T3+ctrl|ctrl+CBFA2T3,True,531,49,0.035845006829301,0.2007185332011893,False,0.0038873209208332604,SH3BGRL3|VIM|MALAT1|S100A10|IFITM2|SMYD3|PRSS57|TMSB10|AP001171.1|MKNK2,HBG2|HBZ|HBG1|GYPB|PITX1|GYPA|GAL|PHF19|TESC|CTSL
CELF2,CELF2+ctrl,False,388,35,0.03540443566850392,0.19675421209117938,False,0.004607568112257283,C4orf48|LST1|MSN|PHF19|MS4A3|CEBPA|LMO4|AIF1|RP11-301G19.1|SH3BGRL3,GYPA|HBG2|APOE|GYPB|MYL4|RP11-717F1.1|NME1|HBG1|GSTP1|CKB
PTPN9,PTPN9+ctrl|ctrl+PTPN9,True,363,40,0.034845896071503006,0.15525272547076313,False,0.004163694243594918,HBZ|MALAT1|HBG2|PTPN9|PPIC|GYPB|NEAT1|GYPA|AC079466.1|PITX1,UBE2S|PRSS57|LAPTM4B|PRDX1|CLIC1|ATP6V0B|CACYBP|PRDX4|SDF2L1|ARPC1B
FOXA1,FOXA1+ctrl|ctrl+FOXA1,True,761,69,0.03341356938805901,0.2071110009910803,False,0.002915248650981569,GYPB|ATF7IP2|ID3|LYZ|ALAS2|SMYD3|GYPE|KRT8|GYPA|GMPPA,GAL|PRSS57|TEX30|MDK|EMP3|KCNH2|DBI|MT-ND6|LDHA|CLIC1
UBASH3B,UBASH3B+ctrl|ctrl+UBASH3B,True,983,91,0.03198569576079727,0.19080773042616453,False,0.002540184993926968,HBZ|HBG2|UBASH3B|HBG1|SLC25A37|BLVRB|NEAT1|COL18A1|ALAS2|HBA1,PRSS57|SDF2L1|ATP6V0B|CLIC1|PRDX1|ARPC1B|PSMA4|SMYD3|EMP3|UBE2S
MAP2K3,MAP2K3+ctrl,False,458,48,0.03121231718438122,0.1507185332011893,False,0.0031265066373790716,MAP2K3|GAL|FABP5|PRDX1|HBG2|PRDX4|PSMA4|HBZ|CACYBP|LDHB,GYPB|GYPC|AC079466.1|FTH1|TMSB10|GYPA|LGALS1|IDH2|GADD45A|PITX1
LYL1,LYL1+ctrl,False,360,34,0.030289017578911417,0.15579781962338948,False,0.004133403961798574,LYL1|HBZ|NEAT1|MALAT1|NENF|VIL1|ATF7IP2|COL18A1|NFASC|ACTG1,HIST1H1C|EMP3|RP11-717F1.1|GAL|CACYBP|LAPTM5|S100A11|GMFG|ARPC3|VAMP8
KIAA1804,KIAA1804+ctrl,False,212,16,0.030079896767379117,0.15381565906838454,False,0.0059441241405210135,HBG2|NEAT1|ACSM3|MALAT1|PYCARD|CDC42|MYL6|VIM|HBG1|HBZ,PRSS57|GAL|UBE2S|RP11-717F1.1|ODC1|PSMA4|SET|CKS1B|HSPD1|PRDX1
C19orf26,C19orf26+ctrl|ctrl+C19orf26,True,750,71,0.03003736013945929,0.1963577799801784,False,0.003100127878625614,GYPB|HBZ|HBG2|C19orf26|FAM83A|ALAS2|MALAT1|NEAT1|GYPA|GMPPA,GAL|GMFG|PTPN7|IFITM2|EMP3|PRSS57|TEX30|LY6E|MT-ND6|AIF1
ELMSAN1,ELMSAN1+ctrl|ctrl+ELMSAN1,True,783,84,0.028232418904229197,0.1712834489593657,False,0.0025496380414801816,HBG2|HBZ|HBG1|ACSM3|HIST1H1C|APOC1|RP11-717F1.1|APOE|GAL|MS4A4A,TMSB10|PPP1R14A|NEAT1|MALAT1|MT2A|GADD45A|SH3BGRL3|IGFBP2|CFD|SMYD3
KMT2A,KMT2A+ctrl,False,185,18,0.02744700029259179,0.14145193260654113,False,0.006010486323680986,KMT2A|HIST1H1C|HBZ|HBG2|HIST1H2BJ|GYPB|NEAT1|MALAT1|FTH1|HBG1,FABP5|APOE|VIM|EMP3|KRT18|GAL|NPM1|NUDC|NME1|BEX2
PLK4,PLK4+ctrl,False,97,9,0.026855796616736434,0.12854311199207136,False,0.009292247603560004,HBG2|HBZ|HBG1|APOE|LGALS1|IER2|VIM|ERV3-1|YPEL3|MAP1LC3B,HMGB2|PTMA|SRM|RANBP1|HIST1H4C|NCL|PPP1R14A|DEK|HELLS|PRSS57
STIL,STIL+ctrl|ctrl+STIL,True,268,25,0.02666991876242673,0.1669226957383548,False,0.005698166527311005,STIL|MALAT1|APOE|GRN|SAT1|PFDN5|CREG1|NEAT1|UBC|S100A13,HIST1H4C|RANBP1|PTMA|SRM|PHF19|PITX1|NME1|DDX21|ODC1|KCNH2
