canonical_perturbation,direction,rank,gene_id,gene_name,effect
ATL1,up,8,ENSG00000213934,HBG1,0.5332612232398515
ATL1,up,9,ENSG00000245532,NEAT1,0.4857139274588287
ATL1,up,10,ENSG00000182871,COL18A1,0.4663142909904479
ATL1,down,1,ENSG00000227706,RP11-301G19.1,-0.6384925814277205
ATL1,down,2,ENSG00000151287,TEX30,-0.5416497998956505
ATL1,down,3,ENSG00000119403,PHF19,-0.49549808002657714
ATL1,down,4,ENSG00000187514,PTMA,-0.4820258834212789
ATL1,down,5,ENSG00000069482,GAL,-0.4732194548151444
ATL1,down,6,ENSG00000108106,UBE2S,-0.4666276503272213
ATL1,down,7,ENSG00000185198,PRSS57,-0.4636851938272819
ATL1,down,8,ENSG00000142227,EMP3,-0.45756051091034405
ATL1,down,9,ENSG00000099901,RANBP1,-0.44797165561634444
ATL1,down,10,ENSG00000115758,ODC1,-0.4414904380766631
BAK1,up,1,ENSG00000030110,BAK1,0.6209908468389449
BAK1,up,2,ENSG00000273706,LHX1,0.48174098752641875
BAK1,up,3,ENSG00000277268,RP11-445F12.1,0.21981722470230428
BAK1,up,4,ENSG00000130203,APOE,0.17229708092011956
BAK1,up,5,ENSG00000130208,APOC1,0.10235533930520235
BAK1,up,6,ENSG00000143933,CALM2,0.07648842185036192
BAK1,up,7,ENSG00000041357,PSMA4,0.07069779649031885
BAK1,up,8,ENSG00000277791,PSMB3,0.07023524405827153
BAK1,up,9,ENSG00000117450,PRDX1,0.06820827261288614
BAK1,up,10,ENSG00000167815,PRDX2,0.06754405393835802
BAK1,down,1,ENSG00000055118,KCNH2,-0.11412868339021054
BAK1,down,2,ENSG00000135047,CTSL,-0.10927773318608693
BAK1,down,3,ENSG00000034510,TMSB10,-0.10501032949675865
BAK1,down,4,ENSG00000279669,RP11-717F1.1,-0.1029172957834092
BAK1,down,5,ENSG00000185198,PRSS57,-0.09633330371546917
BAK1,down,6,ENSG00000167996,FTH1,-0.08761726034969874
BAK1,down,7,ENSG00000142669,SH3BGRL3,-0.08754302673068592
BAK1,down,8,ENSG00000266976,AC079466.1,-0.0820952186759506
BAK1,down,9,ENSG00000100097,LGALS1,-0.07914427676751272
BAK1,down,10,ENSG00000198168,SVIP,-0.0716231717977971
BCL2L11,up,1,ENSG00000153094,BCL2L11,0.48334465935902915
BCL2L11,up,2,ENSG00000250361,GYPB,0.2669187818075035
BCL2L11,up,3,ENSG00000130656,HBZ,0.18658248570918007
BCL2L11,up,4,ENSG00000196565,HBG2,0.13294964548689878
BCL2L11,up,5,ENSG00000170180,GYPA,0.12765704818584495
BCL2L11,up,6,ENSG00000197465,GYPE,0.09578982925203353
BCL2L11,up,7,ENSG00000090013,BLVRB,0.08842193435748487
BCL2L11,up,8,ENSG00000116489,CAPZA1,0.06067624007896273
BCL2L11,up,9,ENSG00000128228,SDF2L1,0.059736613778298364
BCL2L11,up,10,ENSG00000197747,S100A10,0.05768583965798098
BCL2L11,down,1,ENSG00000034510,TMSB10,-0.11352874751092318
BCL2L11,down,2,ENSG00000227706,RP11-301G19.1,-0.10182566439604146
BCL2L11,down,3,ENSG00000244754,N4BP2L2,-0.08163722201281978
BCL2L11,down,4,ENSG00000100097,LGALS1,-0.07468305711891693
BCL2L11,down,5,ENSG00000185198,PRSS57,-0.07349031440097761
BCL2L11,down,6,ENSG00000183971,NPW,-0.06767582220752426
BCL2L11,down,7,ENSG00000243449,C4orf48,-0.06465532703464472
BCL2L11,down,8,ENSG00000152804,HHEX,-0.06405886807615224
BCL2L11,down,9,ENSG00000164104,HMGB2,-0.06380602079572817
BCL2L11,down,10,ENSG00000143851,PTPN7,-0.06262212575797196
BCORL1,up,1,ENSG00000111057,KRT18,0.9029191025074687
BCORL1,up,2,ENSG00000170421,KRT8,0.36622840086574376
BCORL1,up,3,ENSG00000085185,BCORL1,0.32039098197754945
BCORL1,up,4,ENSG00000183770,FOXL2,0.3063840168700411
BCORL1,up,5,ENSG00000245532,NEAT1,0.17647941323154098
BCORL1,up,6,ENSG00000251562,MALAT1,0.17479646621425404
BCORL1,up,7,ENSG00000102804,TSC22D1,0.16862065139484728
BCORL1,up,8,ENSG00000144591,GMPPA,0.16596151686802962
BCORL1,up,9,ENSG00000158578,ALAS2,0.16122567362648885
BCORL1,up,10,ENSG00000196565,HBG2,0.15998809243130302
BCORL1,down,1,ENSG00000069482,GAL,-0.48223290290260473
BCORL1,down,2,ENSG00000185198,PRSS57,-0.2745003041952865
BCORL1,down,3,ENSG00000125144,MT1G,-0.2610949434878888
BCORL1,down,4,ENSG00000130656,HBZ,-0.2233903070342566
BCORL1,down,5,ENSG00000125148,MT2A,-0.17857265307227532
BCORL1,down,6,ENSG00000034510,TMSB10,-0.1739909019421883
BCORL1,down,7,ENSG00000164687,FABP5,-0.16563018791909653
BCORL1,down,8,ENSG00000121900,TMEM54,-0.16438963009241664
BCORL1,down,9,ENSG00000135047,CTSL,-0.1591491315073473
BCORL1,down,10,ENSG00000163497,FEV,-0.14878164865018179
BPGM,up,1,ENSG00000130656,HBZ,1.9628186450238134
BPGM,up,2,ENSG00000196565,HBG2,0.7171652191967758
BPGM,up,3,ENSG00000135409,AMHR2,0.6352717427765157
BPGM,up,4,ENSG00000158578,ALAS2,0.625339489322329
BPGM,up,5,ENSG00000172331,BPGM,0.6217124568556349
BPGM,up,6,ENSG00000250361,GYPB,0.5229938827835187
BPGM,up,7,ENSG00000182871,COL18A1,0.4752763384495783
BPGM,up,8,ENSG00000090013,BLVRB,0.46282576198629566
BPGM,up,9,ENSG00000213934,HBG1,0.4488887591254908
BPGM,up,10,ENSG00000187837,HIST1H1C,0.4373945479262223
BPGM,down,1,ENSG00000034510,TMSB10,-0.440452241290586
BPGM,down,2,ENSG00000185198,PRSS57,-0.4004709958905174
BPGM,down,3,ENSG00000205542,TMSB4X,-0.3326663158993902
BPGM,down,4,ENSG00000134333,LDHA,-0.32525426742030433
BPGM,down,5,ENSG00000151287,TEX30,-0.324491777087969
BPGM,down,6,ENSG00000160932,LY6E,-0.28891868910994567
BPGM,down,7,ENSG00000227706,RP11-301G19.1,-0.27873750123741736
BPGM,down,8,ENSG00000198727,MT-CYB,-0.2782639444206477
BPGM,down,9,ENSG00000212907,MT-ND4L,-0.260829505093214
BPGM,down,10,ENSG00000080824,HSP90AA1,-0.2514045507415953
C19orf26,up,1,ENSG00000250361,GYPB,0.5645661861399086
C19orf26,up,2,ENSG00000130656,HBZ,0.5568136926589984
C19orf26,up,3,ENSG00000196565,HBG2,0.45101643372780365
C19orf26,up,4,ENSG00000099625,C19orf26,0.37174316129570706
C19orf26,up,5,ENSG00000147689,FAM83A,0.36018297023551893
C19orf26,up,6,ENSG00000158578,ALAS2,0.35779829296688653
C19orf26,up,7,ENSG00000251562,MALAT1,0.32155477962231616
C19orf26,up,8,ENSG00000245532,NEAT1,0.30037818882026546
C19orf26,up,9,ENSG00000170180,GYPA,0.292313908697577
C19orf26,up,10,ENSG00000144591,GMPPA,0.2803743940179204
C19orf26,down,1,ENSG00000069482,GAL,-0.242567693006464
C19orf26,down,2,ENSG00000130755,GMFG,-0.2205945970000215
C19orf26,down,3,ENSG00000143851,PTPN7,-0.21208526673469136
C19orf26,down,4,ENSG00000185201,IFITM2,-0.20246496530562344
C19orf26,down,5,ENSG00000142227,EMP3,-0.20246328003809344
C19orf26,down,6,ENSG00000185198,PRSS57,-0.20146482342208327
C19orf26,down,7,ENSG00000151287,TEX30,-0.20108809269983696
C19orf26,down,8,ENSG00000160932,LY6E,-0.19648764271750482
C19orf26,down,9,ENSG00000198695,MT-ND6,-0.1894688606976628
C19orf26,down,10,ENSG00000204472,AIF1,-0.18623416911091212
C3orf72,up,1,ENSG00000245532,NEAT1,0.6873750314179661
C3orf72,up,2,ENSG00000158578,ALAS2,0.6743666117621718
C3orf72,up,3,ENSG00000178104,PDE4DIP,0.6262720364291015
C3orf72,up,4,ENSG00000102804,TSC22D1,0.6250106405607643
C3orf72,up,5,ENSG00000251562,MALAT1,0.6152398720280099
C3orf72,up,6,ENSG00000183770,FOXL2,0.5475491839044999
C3orf72,up,7,ENSG00000233236,AP001171.1,0.5328991802517707
C3orf72,up,8,ENSG00000189171,S100A13,0.4263379581329833
C3orf72,up,9,ENSG00000198736,MSRB1,0.4212726789803585
C3orf72,up,10,ENSG00000250361,GYPB,0.4087460529450416
C3orf72,down,1,ENSG00000069482,GAL,-0.6808652470342699
C3orf72,down,2,ENSG00000108106,UBE2S,-0.4959306521563017
C3orf72,down,3,ENSG00000116649,SRM,-0.463823942037624
C3orf72,down,4,ENSG00000151287,TEX30,-0.446358695294072
C3orf72,down,5,ENSG00000239672,NME1,-0.4429384267647886
C3orf72,down,6,ENSG00000164104,HMGB2,-0.4088707899856784
C3orf72,down,7,ENSG00000099901,RANBP1,-0.39013242017127975
C3orf72,down,8,ENSG00000165732,DDX21,-0.3865932761130575
C3orf72,down,9,ENSG00000116161,CACYBP,-0.3695852381901915
C3orf72,down,10,ENSG00000096384,HSP90AB1,-0.3681395854560281
CBFA2T3,up,1,ENSG00000142669,SH3BGRL3,0.5620735842040806
CBFA2T3,up,2,ENSG00000026025,VIM,0.5279383162679029
CBFA2T3,up,3,ENSG00000251562,MALAT1,0.2695059340431484
CBFA2T3,up,4,ENSG00000197747,S100A10,0.2518418837263436
CBFA2T3,up,5,ENSG00000185201,IFITM2,0.2377831797434622
CBFA2T3,up,6,ENSG00000185420,SMYD3,0.23477804613605036
CBFA2T3,up,7,ENSG00000185198,PRSS57,0.22999643526242794
CBFA2T3,up,8,ENSG00000034510,TMSB10,0.22477278560444763
CBFA2T3,up,9,ENSG00000233236,AP001171.1,0.21927776449646053
CBFA2T3,up,10,ENSG00000099875,MKNK2,0.21692349231718777
CBFA2T3,down,1,ENSG00000196565,HBG2,-0.7556619626641605
CBFA2T3,down,2,ENSG00000130656,HBZ,-0.5713884962624628
CBFA2T3,down,3,ENSG00000213934,HBG1,-0.4702696020923316
CBFA2T3,down,4,ENSG00000250361,GYPB,-0.3857849468157242
CBFA2T3,down,5,ENSG00000069011,PITX1,-0.37593796896696385
CBFA2T3,down,6,ENSG00000170180,GYPA,-0.3531066825634226
CBFA2T3,down,7,ENSG00000069482,GAL,-0.33663753938408947
CBFA2T3,down,8,ENSG00000119403,PHF19,-0.26671424788050346
CBFA2T3,down,9,ENSG00000088992,TESC,-0.25738572491128386
CBFA2T3,down,10,ENSG00000135047,CTSL,-0.2509058959413846
CBL,up,1,ENSG00000130656,HBZ,1.3436820960362317
CBL,up,2,ENSG00000002586,CD99,1.0303957408592135
CBL,up,3,ENSG00000196565,HBG2,0.7121017196276757
CBL,up,4,ENSG00000158578,ALAS2,0.4335054084465456
CBL,up,5,ENSG00000213934,HBG1,0.41057744831314413
CBL,up,6,ENSG00000250361,GYPB,0.368581715141769
CBL,up,7,ENSG00000182871,COL18A1,0.3353529401761003
CBL,up,8,ENSG00000147454,SLC25A37,0.33217023831120057
CBL,up,9,ENSG00000090013,BLVRB,0.3182429801489126
CBL,up,10,ENSG00000206172,HBA1,0.3107490204217476
CBL,down,1,ENSG00000185198,PRSS57,-0.4404598137462738
CBL,down,2,ENSG00000213719,CLIC1,-0.3117468202555505
CBL,down,3,ENSG00000160932,LY6E,-0.30552516553677167
CBL,down,4,ENSG00000151287,TEX30,-0.3015821523652438
CBL,down,5,ENSG00000142227,EMP3,-0.29494152892747205
CBL,down,6,ENSG00000130755,GMFG,-0.2572078312370518
CBL,down,7,ENSG00000117450,PRDX1,-0.24631559116588697
CBL,down,8,ENSG00000163191,S100A11,-0.22784220083605478
CBL,down,9,ENSG00000184009,ACTG1,-0.22461617180562168
CBL,down,10,ENSG00000143851,PTPN7,-0.22388506992188628
CDKN1A,up,1,ENSG00000130656,HBZ,1.0286242701582884
CDKN1A,up,2,ENSG00000196565,HBG2,0.9186504338895335
CDKN1A,up,3,ENSG00000124762,CDKN1A,0.844863270335963
CDKN1A,up,4,ENSG00000279669,RP11-717F1.1,0.6345810849283455
CDKN1A,up,5,ENSG00000158578,ALAS2,0.6281155204934807
CDKN1A,up,6,ENSG00000213934,HBG1,0.5203044592302343
CDKN1A,up,7,ENSG00000245532,NEAT1,0.49578833688212964
CDKN1A,up,8,ENSG00000250361,GYPB,0.4244757285881925
CDKN1A,up,9,ENSG00000236824,BCYRN1,0.4243271594673108
CDKN1A,up,10,ENSG00000147454,SLC25A37,0.42337043575719313
CDKN1A,down,1,ENSG00000197061,HIST1H4C,-0.8933701621836411
CDKN1A,down,2,ENSG00000164104,HMGB2,-0.5556232643382382
CDKN1A,down,3,ENSG00000123416,TUBA1B,-0.5132872479082533
CDKN1A,down,4,ENSG00000116161,CACYBP,-0.49456691452575574
CDKN1A,down,5,ENSG00000173207,CKS1B,-0.48478339873037113
CDKN1A,down,6,ENSG00000213719,CLIC1,-0.47150771614350945
CDKN1A,down,7,ENSG00000187514,PTMA,-0.4628957408906514
CDKN1A,down,8,ENSG00000117450,PRDX1,-0.4592062217860719
CDKN1A,down,9,ENSG00000099901,RANBP1,-0.4572357193361585
CDKN1A,down,10,ENSG00000080824,HSP90AA1,-0.4298747185201879
CDKN1B,up,1,ENSG00000130656,HBZ,0.9557954048066071
CDKN1B,up,2,ENSG00000196565,HBG2,0.6333248786927737
CDKN1B,up,3,ENSG00000158578,ALAS2,0.5014187458940019
CDKN1B,up,4,ENSG00000129757,CDKN1C,0.4422909614116298
CDKN1B,up,5,ENSG00000141753,IGFBP4,0.39542369062426225
CDKN1B,up,6,ENSG00000147454,SLC25A37,0.39109278945661446
CDKN1B,up,7,ENSG00000213934,HBG1,0.3584100591358162
CDKN1B,up,8,ENSG00000206172,HBA1,0.3541102641610846
CDKN1B,up,9,ENSG00000236824,BCYRN1,0.32720625393197483
CDKN1B,up,10,ENSG00000197746,PSAP,0.30172494791239274
CDKN1B,down,1,ENSG00000197061,HIST1H4C,-0.5898671840340282
CDKN1B,down,2,ENSG00000164104,HMGB2,-0.4083846653284325
CDKN1B,down,3,ENSG00000123416,TUBA1B,-0.39882583154701945
CDKN1B,down,4,ENSG00000117632,STMN1,-0.3853216987590079
CDKN1B,down,5,ENSG00000187514,PTMA,-0.38104602302967305
CDKN1B,down,6,ENSG00000099901,RANBP1,-0.37419753362344327
CDKN1B,down,7,ENSG00000124795,DEK,-0.3506083594120191
CDKN1B,down,8,ENSG00000117450,PRDX1,-0.348832439094381
CDKN1B,down,9,ENSG00000173207,CKS1B,-0.34475516979325294
CDKN1B,down,10,ENSG00000116161,CACYBP,-0.341388710722506
CDKN1C,up,1,ENSG00000130656,HBZ,0.9016936519016303
CDKN1C,up,2,ENSG00000196565,HBG2,0.7771770105639236
CDKN1C,up,3,ENSG00000279669,RP11-717F1.1,0.7627868148339091
CDKN1C,up,4,ENSG00000158578,ALAS2,0.5982100324897007
CDKN1C,up,5,ENSG00000129757,CDKN1C,0.5961029728509364
CDKN1C,up,6,ENSG00000213934,HBG1,0.5169169175336508
CDKN1C,up,7,ENSG00000245532,NEAT1,0.4732470441965099
CDKN1C,up,8,ENSG00000250361,GYPB,0.4126913000983309
CDKN1C,up,9,ENSG00000236824,BCYRN1,0.4104108909722905
CDKN1C,up,10,ENSG00000149485,FADS1,0.38910363871933357
CDKN1C,down,1,ENSG00000197061,HIST1H4C,-0.9234384407760138
CDKN1C,down,2,ENSG00000164104,HMGB2,-0.7267230341086481
CDKN1C,down,3,ENSG00000123416,TUBA1B,-0.6452056417045493
CDKN1C,down,4,ENSG00000117632,STMN1,-0.5572124944107898
CDKN1C,down,5,ENSG00000173207,CKS1B,-0.5496465798602063
CDKN1C,down,6,ENSG00000099901,RANBP1,-0.47511056535104323
CDKN1C,down,7,ENSG00000117450,PRDX1,-0.47468053079454264
CDKN1C,down,8,ENSG00000116161,CACYBP,-0.4633764511742364
CDKN1C,down,9,ENSG00000108106,UBE2S,-0.46278585574727393
CDKN1C,down,10,ENSG00000151287,TEX30,-0.41594554372822334
CEBPA,up,1,ENSG00000204482,LST1,2.468826236001868
CEBPA,up,2,ENSG00000105205,CLC,2.1723769292912443
CEBPA,up,3,ENSG00000197766,CFD,2.103944519112817
CEBPA,up,4,ENSG00000119535,CSF3R,1.9405779704626402
CEBPA,up,5,ENSG00000011600,TYROBP,1.9129342207852829
CEBPA,up,6,ENSG00000146278,PNRC1,1.7365416436871932
CEBPA,up,7,ENSG00000026025,VIM,1.653111663329527
CEBPA,up,8,ENSG00000149516,MS4A3,1.6295664308282385
CEBPA,up,9,ENSG00000205542,TMSB4X,1.4638856986328035
CEBPA,up,10,ENSG00000204472,AIF1,1.4499571983816044
CEBPA,down,1,ENSG00000239672,NME1,-1.4190241326293822
CEBPA,down,2,ENSG00000099901,RANBP1,-1.3533466120491076
CEBPA,down,3,ENSG00000116649,SRM,-1.2932465141137592
CEBPA,down,4,ENSG00000187514,PTMA,-1.2088132630799622
CEBPA,down,5,ENSG00000196565,HBG2,-1.1429617872771705
CEBPA,down,6,ENSG00000104341,LAPTM4B,-1.1068637644446553
CEBPA,down,7,ENSG00000144381,HSPD1,-1.0282249568256574
CEBPA,down,8,ENSG00000069011,PITX1,-1.0209086422511464
CEBPA,down,9,ENSG00000108106,UBE2S,-1.017087177861571
CEBPA,down,10,ENSG00000250361,GYPB,-1.003314053644716
CEBPB,up,1,ENSG00000204482,LST1,1.1418598699311668
CEBPB,up,2,ENSG00000105223,PLD3,1.1051558838466795
CEBPB,up,3,ENSG00000204472,AIF1,0.998836504932539
CEBPB,up,4,ENSG00000197766,CFD,0.9590093668616706
CEBPB,up,5,ENSG00000227706,RP11-301G19.1,0.9320182739775381
CEBPB,up,6,ENSG00000117318,ID3,0.8475583167598408
CEBPB,up,7,ENSG00000142669,SH3BGRL3,0.8354961257574933
CEBPB,up,8,ENSG00000125968,ID1,0.8289804987928061
CEBPB,up,9,ENSG00000011600,TYROBP,0.7851622436795556
CEBPB,up,10,ENSG00000119535,CSF3R,0.7343567718201163
CEBPB,down,1,ENSG00000196565,HBG2,-0.8530777988588111
CEBPB,down,2,ENSG00000170180,GYPA,-0.689903714440883
CEBPB,down,3,ENSG00000116649,SRM,-0.6562972331068406
CEBPB,down,4,ENSG00000239672,NME1,-0.6499184947736589
CEBPB,down,5,ENSG00000099901,RANBP1,-0.5908311601069349
CEBPB,down,6,ENSG00000069482,GAL,-0.5807987387807777
CEBPB,down,7,ENSG00000250361,GYPB,-0.5605622039066811
CEBPB,down,8,ENSG00000279669,RP11-717F1.1,-0.5501115024338747
CEBPB,down,9,ENSG00000187514,PTMA,-0.5420144741231052
CEBPB,down,10,ENSG00000108106,UBE2S,-0.5160483742587122
CEBPE,up,1,ENSG00000092067,CEBPE,1.7731680129245462
CEBPE,up,2,ENSG00000204482,LST1,1.5390788557249582
CEBPE,up,3,ENSG00000204472,AIF1,1.0503580565468447
CEBPE,up,4,ENSG00000143013,LMO4,1.036190835300908
CEBPE,up,5,ENSG00000026025,VIM,1.0017458370398098
CEBPE,up,6,ENSG00000149516,MS4A3,0.8909041950329082
CEBPE,up,7,ENSG00000146278,PNRC1,0.8741009796198738
CEBPE,up,8,ENSG00000198736,MSRB1,0.7931371749724886
CEBPE,up,9,ENSG00000011600,TYROBP,0.7871403695099358
CEBPE,up,10,ENSG00000119535,CSF3R,0.7387809691777435
CEBPE,down,1,ENSG00000196565,HBG2,-0.8772672217381252
CEBPE,down,2,ENSG00000170180,GYPA,-0.7639473032213697
CEBPE,down,3,ENSG00000250361,GYPB,-0.7583686737246138
CEBPE,down,4,ENSG00000130656,HBZ,-0.7349703268272141
CEBPE,down,5,ENSG00000279669,RP11-717F1.1,-0.7060976209092766
CEBPE,down,6,ENSG00000239672,NME1,-0.7019701239009882
CEBPE,down,7,ENSG00000108106,UBE2S,-0.6971635792853182
CEBPE,down,8,ENSG00000069011,PITX1,-0.6692409010429881
CEBPE,down,9,ENSG00000116649,SRM,-0.6578762076298763
CEBPE,down,10,ENSG00000099901,RANBP1,-0.6427148813551207
CELF2,up,1,ENSG00000243449,C4orf48,0.9460212198012281
CELF2,up,2,ENSG00000204482,LST1,0.447685674389261
CELF2,up,3,ENSG00000147065,MSN,0.4003544275580723
CELF2,up,4,ENSG00000119403,PHF19,0.3853299900653325
CELF2,up,5,ENSG00000149516,MS4A3,0.3617829509600044
CELF2,up,6,ENSG00000245848,CEBPA,0.3616490685497347
CELF2,up,7,ENSG00000143013,LMO4,0.3337707963305039
CELF2,up,8,ENSG00000204472,AIF1,0.30460794358898974
CELF2,up,9,ENSG00000227706,RP11-301G19.1,0.3041810724354014
CELF2,up,10,ENSG00000142669,SH3BGRL3,0.2786856435932916
CELF2,down,1,ENSG00000170180,GYPA,-0.3343495520618069
CELF2,down,2,ENSG00000196565,HBG2,-0.3194691823501358
CELF2,down,3,ENSG00000130203,APOE,-0.3122709207671544
CELF2,down,4,ENSG00000250361,GYPB,-0.29988048570777237
CELF2,down,5,ENSG00000198336,MYL4,-0.2919864934072554
CELF2,down,6,ENSG00000279669,RP11-717F1.1,-0.26537696387933024
CELF2,down,7,ENSG00000239672,NME1,-0.25407861488062106
CELF2,down,8,ENSG00000213934,HBG1,-0.21727055135228568
CELF2,down,9,ENSG00000084207,GSTP1,-0.21140566926242438
CELF2,down,10,ENSG00000166165,CKB,-0.20751032764282834
CITED1,up,1,ENSG00000245532,NEAT1,0.9612140370992567
CITED1,up,2,ENSG00000251562,MALAT1,0.8731272350764581
CITED1,up,3,ENSG00000125931,CITED1,0.5763860312660906
CITED1,up,4,ENSG00000119535,CSF3R,0.4949886891084632
CITED1,up,5,ENSG00000095794,CREM,0.4045391941671472
CITED1,up,6,ENSG00000021355,SERPINB1,0.37357564744952093
CITED1,up,7,ENSG00000130522,JUND,0.36092457364317765
CITED1,up,8,ENSG00000142669,SH3BGRL3,0.35905479747863733
CITED1,up,9,ENSG00000179348,GATA2,0.35721787966001955
CITED1,up,10,ENSG00000279669,RP11-717F1.1,0.3560814348112471
CITED1,down,1,ENSG00000239672,NME1,-0.5097716178039164
CITED1,down,2,ENSG00000187514,PTMA,-0.5078270902320186
CITED1,down,3,ENSG00000099901,RANBP1,-0.5060933214822367
CITED1,down,4,ENSG00000119403,PHF19,-0.49408455368118903
CITED1,down,5,ENSG00000116649,SRM,-0.4820946988477538
CITED1,down,6,ENSG00000173207,CKS1B,-0.48088861521719395
CITED1,down,7,ENSG00000134333,LDHA,-0.4777975755582658
CITED1,down,8,ENSG00000197061,HIST1H4C,-0.4178616006567433
CITED1,down,9,ENSG00000116161,CACYBP,-0.41631163605015764
CITED1,down,10,ENSG00000069011,PITX1,-0.4053882289729649
CKS1B,up,1,ENSG00000130203,APOE,0.8880953310743698
CKS1B,up,2,ENSG00000130208,APOC1,0.8857319056399193
CKS1B,up,3,ENSG00000140545,MFGE8,0.8764732907134953
CKS1B,up,4,ENSG00000130656,HBZ,0.7962601346214578
CKS1B,up,5,ENSG00000169764,UGP2,0.7829999275822197
CKS1B,up,6,ENSG00000115255,REEP6,0.7587364125276922
CKS1B,up,7,ENSG00000187837,HIST1H1C,0.7306119295968454
CKS1B,up,8,ENSG00000145703,IQGAP2,0.5939523694704621
CKS1B,up,9,ENSG00000162878,PKDCC,0.5705500739974527
