component,rank,gene_id,gene_name,loading,singular_value
3,13,ENSG00000213934,HBG1,-0.10531817396679514,20.24700447616611
3,14,ENSG00000166669,ATF7IP2,0.10275871019930649,20.24700447616611
3,15,ENSG00000105205,CLC,-0.10116928240720767,20.24700447616611
3,16,ENSG00000185420,SMYD3,0.09774295999020167,20.24700447616611
3,17,ENSG00000119535,CSF3R,-0.09758114411611461,20.24700447616611
3,18,ENSG00000178104,PDE4DIP,0.09569320959542543,20.24700447616611
3,19,ENSG00000117318,ID3,0.09004588952842124,20.24700447616611
3,20,ENSG00000081189,MEF2C,0.08961239073432238,20.24700447616611
4,1,ENSG00000196565,HBG2,-0.2340701874543397,15.654845827116134
4,2,ENSG00000142669,SH3BGRL3,-0.2094095323111574,15.654845827116134
4,3,ENSG00000213934,HBG1,-0.18569258006869063,15.654845827116134
4,4,ENSG00000163497,FEV,-0.16073597664149436,15.654845827116134
4,5,ENSG00000130208,APOC1,0.14079804253950917,15.654845827116134
4,6,ENSG00000170180,GYPA,-0.12173759074159138,15.654845827116134
4,7,ENSG00000205542,TMSB4X,-0.11769813629567295,15.654845827116134
4,8,ENSG00000213719,CLIC1,-0.11725298800492291,15.654845827116134
4,9,ENSG00000137193,PIM1,-0.11284513615942157,15.654845827116134
4,10,ENSG00000142227,EMP3,-0.11249240558679888,15.654845827116134
4,11,ENSG00000250361,GYPB,-0.10904722514016821,15.654845827116134
4,12,ENSG00000130656,HBZ,-0.10710751540494634,15.654845827116134
4,13,ENSG00000158869,FCER1G,-0.10504397033499621,15.654845827116134
4,14,ENSG00000135404,CD63,-0.10363177761503296,15.654845827116134
4,15,ENSG00000092841,MYL6,-0.10097095813119114,15.654845827116134
4,16,ENSG00000070010,UFD1L,-0.0979770082216338,15.654845827116134
4,17,ENSG00000034510,TMSB10,-0.09774849741302337,15.654845827116134
4,18,ENSG00000141744,PNMT,-0.09631939206872973,15.654845827116134
4,19,ENSG00000143158,MPC2,-0.09611929770968171,15.654845827116134
4,20,ENSG00000112576,CCND3,-0.09486719971937208,15.654845827116134
5,1,ENSG00000034510,TMSB10,0.2125593726424767,12.47162101911159
5,2,ENSG00000187837,HIST1H1C,-0.1815053349002923,12.47162101911159
5,3,ENSG00000130656,HBZ,0.1807779672892455,12.47162101911159
5,4,ENSG00000069482,GAL,0.1760406571325294,12.47162101911159
5,5,ENSG00000198336,MYL4,-0.1595694290599436,12.47162101911159
5,6,ENSG00000144591,GMPPA,0.1547272424365092,12.47162101911159
5,7,ENSG00000026025,VIM,0.14801407353974502,12.47162101911159
5,8,ENSG00000204472,AIF1,-0.1468209691518721,12.47162101911159
5,9,ENSG00000100097,LGALS1,0.14014816992941762,12.47162101911159
5,10,ENSG00000163497,FEV,-0.13780332773643522,12.47162101911159
5,11,ENSG00000163191,S100A11,0.1377024538522454,12.47162101911159
5,12,ENSG00000185201,IFITM2,-0.1242224105956663,12.47162101911159
5,13,ENSG00000142227,EMP3,0.12257208654926477,12.47162101911159
5,14,ENSG00000141744,PNMT,0.11442895107574894,12.47162101911159
5,15,ENSG00000182054,IDH2,-0.10754838466701139,12.47162101911159
5,16,ENSG00000125148,MT2A,-0.10390656451552989,12.47162101911159
5,17,ENSG00000120833,SOCS2,0.09999577586397015,12.47162101911159
5,18,ENSG00000109861,CTSC,0.09895890443440812,12.47162101911159
5,19,ENSG00000130203,APOE,-0.09841142151234128,12.47162101911159
5,20,ENSG00000206172,HBA1,0.09651897271311348,12.47162101911159
