canonical_perturbation,n_targets,pc1,pc2,pc3
MAP2K6,1,-0.781420395964166,3.293506651235895,-0.17806087789516847
MAP4K3,1,-0.9759005899432895,1.634088729676536,-0.017943918231673153
MAP4K5,1,-1.1312379067084026,1.5284076204383008,-0.054465478645850565
MAP7D1,1,-0.568691663893653,2.5928245727545494,-0.10504390004614385
MAPK1,1,2.5233143111987117,2.9623111838242053,0.5062917887868386
MEIS1,1,-0.7169743110373005,1.398764756194322,0.37207298505640435
MIDN,1,1.4223314354926784,-0.1373050575210514,1.8256704570442317
NCL,1,-0.7583341396195146,2.0851037798372527,0.1561895033723098
NIT1,1,0.5317034454057008,1.000027816833608,1.0567784930259365
OSR2,1,2.074359354661594,2.5053583607098306,0.8136287522081715
PLK4,1,-0.5459853212511386,1.5910367672301333,0.020889796466451126
POU3F2,1,-0.8333196202678412,0.5010975800844316,0.4288481630726105
PRDM1,1,-2.2516131347969432,-2.3694666313138546,-0.8624595826893808
PRTG,1,-2.1383502182526013,-0.704383682574993,-0.5856675474876731
PTPN1,1,-2.0416837000954557,-1.2967603119511906,-0.984559139612728
PTPN12,1,-2.13242024075942,0.5892550185861755,-0.9941197743877405
PTPN13,1,-0.4196769512729763,0.9805618193772478,0.41453463176778427
PTPN9,1,-1.3151312071007235,0.912216930084107,-0.3544631763347471
RHOXF2BB,1,-1.0950454947139974,-1.4337963726437108,0.31093245025344224
RREB1,1,-1.3104754673780123,0.4849537221760076,-0.3318701918084353
RUNX1T1,1,-0.16216975158897387,2.5676924500741003,0.1398410031818912
S1PR2,1,-1.5860043330066516,0.16136092687273346,-0.16801289867456037
SAMD1,1,-0.9730439972422329,-0.7387740963932217,-0.12907637643408215
SET,1,-0.7190026453242291,0.9747869959314668,0.08513359829917246
SGK1,1,-1.0339058017724623,-0.3398853242899439,0.10467536822986015
SLC38A2,1,-0.5610105663529085,2.9802182492226983,-0.07457244013724343
SLC4A1,1,-0.11713460264476148,2.144363666811307,0.5896499775130745
SLC6A9,1,-0.783480877731851,1.3407499185782819,-0.6319397390742444
SNAI1,1,0.7671173815780888,1.5383435292758394,1.715737206273617
SPI1,1,2.554627019945525,-1.6860715738487562,-0.8818706426422814
STIL,1,-0.31087273989452946,1.372729752135683,0.30311829413996993
TBX2,1,-1.0019499612937697,0.86376737897676,-0.09864583026533756
TBX3,1,-0.5315971453107301,1.4599683858114942,0.296884961642592
TGFBR2,1,-1.3850064320282494,2.035093838798201,-0.3762033491722592
TMSB4X,1,-0.38566783722374504,2.0901050378966795,-0.36910560348743904
TP73,1,0.11694300485990039,-4.853336275295736,1.0364675729515906
TSC22D1,1,-0.5549638616751462,1.7851485889093033,0.012892965233351192
UBASH3A,1,-0.6368643498781557,1.697101010613295,0.015467845746237436
UBASH3B,1,-1.5829615375561954,0.9110465775515747,-0.6672661771909283
ZBTB1,1,-1.6126796425709888,-0.4833390409184976,-0.7505305818708716
ZBTB10,1,1.3718882403891803,-0.7861432104437942,3.2313127211228396
ZBTB25,1,-1.9842246397611065,0.6843671058949565,-0.7906842170471649
ZC3HAV1,1,-0.7051612073799658,3.045039882887471,-0.27363028391337585
ZNF318,1,-1.0539728025522705,1.5575820812818433,-0.20780819677390608
AHR+FEV,2,0.0017011616403242698,-3.07181594402411,1.4443271338375139
AHR+KLF1,2,-1.6975960006535218,1.2100018157281736,-1.0895217516210112
BAK1+BCL2L11,2,-1.0687642589016297,2.626469348296918,-0.3249671505609474
BAK1+KLF1,2,-2.0758010938103144,1.7640506232257074,-1.3189268179230145
BAK1+TMSB4X,2,-0.24928515238688753,2.186604256308391,-0.258309106404059
BCL2L11+TGFBR2,2,-1.819517939704939,1.6830691610111972,-0.46964284930868044
BPGM+SAMD1,2,-2.55399915368853,-1.9020806333998337,-1.1272632222867918
BPGM+ZBTB1,2,-2.55787459413459,-1.7258302613198895,-1.224827391107269
C19orf26+TGFBR2,2,-1.6420206029136712,-0.8344183318312883,0.33508788219517427
C3orf72+FOXL2,2,1.4131408496130407,-0.8107407630739683,1.8269180980791584
CBFA2T3+FEV,2,1.4588733055727459,-2.8238852843771958,2.458469718085606
CBFA2T3+POU3F2,2,0.7511500455479733,-0.8986991815382657,1.4584109875757458
CBFA2T3+PRDM1,2,-0.061237767157616016,-4.599871434050625,0.9939642363527506
CBL+CNN1,2,-4.149082025020776,-3.777223398020636,-1.7698058532763794
CBL+PTPN12,2,-3.695581541166685,-2.1076396045533063,-1.6025476885669345
CBL+PTPN9,2,-2.6316040764605524,-1.9836542731730664,-0.8552852472818719
CBL+TGFBR2,2,-2.773665664241486,-0.6670007027475311,-0.9336822873028454
CBL+UBASH3A,2,-2.557370664280751,-2.1249869243995905,-0.65986841190122
CBL+UBASH3B,2,-3.6185356759825655,-3.5838678124663303,-1.3453867750266284
CDKN1A+CDKN1B,2,-1.6154286543757663,-1.9621901236928931,-0.06185909161798648
CDKN1A+CDKN1C,2,-1.6215893369530945,-1.7921456623013636,-0.07231376824679742
CDKN1B+CDKN1C,2,-1.422212843046661,-1.2255454056948765,-0.10310315780604273
CEBPA+CEBPB,2,10.490490027931912,-2.2229370240647364,-3.26002763703688
CEBPA+CEBPE,2,11.056518836834284,-2.7076630914460034,-3.3918150077146345
CEBPA+JUN,2,11.43164257806913,-3.084815571911107,-3.1322783977117195
CEBPA+KLF1,2,7.8591755379537895,-0.7381436838821989,-3.14439889797866
CEBPA+ZC3HAV1,2,9.52769813860708,-1.3617243364274414,-3.294806275220015
CEBPB+CEBPE,2,8.127194974565308,-1.3522251980274065,-1.9828701828581414
CEBPB+FOSB,2,8.47807675465519,-1.3546094367526553,-1.9840027479210351
CEBPB+JUN,2,5.034521746516043,-2.1694852202871493,0.6748399617360988
CEBPB+LYL1,2,1.6871643519873472,0.2309114789592046,0.06988100436912364
CEBPB+MAPK1,2,4.669593858293747,1.8786315293041036,0.18681962747527375
CEBPB+OSR2,2,5.524554680735315,0.1749780164559079,-0.14688866757857733
CEBPB+PTPN12,2,0.675696040823676,-0.1585123535043888,-0.41207874992945503
CEBPE+CNN1,2,0.7573587304624326,0.46652704876029377,-1.2902196730060804
CEBPE+ETS2,2,4.91369399938536,2.1453760520795635,-0.9639013542984984
CEBPE+FOSB,2,7.708185356152186,-0.7838246138105794,-2.016855279636327
CEBPE+KLF1,2,0.008486021178220856,2.0829318463549327,-1.7184441386877842
CEBPE+PTPN12,2,0.785680214493976,0.812444161082264,-1.054782516184411
CEBPE+RUNX1T1,2,2.9286910630991616,2.018642643025375,-0.7372543833796528
CEBPE+SET,2,1.0707793020589693,1.7441200541289061,-0.44803836581768564
CEBPE+SPI1,2,9.077075701801002,-2.404190306172077,-2.4001060274166033
CEBPE+ZC3HAV1,2,1.3846324317273118,2.860357709792693,-0.7731402516324487
CLDN6+KLF1,2,-2.0469829994285735,-2.1310591446575247,-0.482558888094316
CNN1+ETS2,2,-0.9337936430208997,0.8306996648223353,-0.5681638097863315
CNN1+MAPK1,2,0.7414298649347598,1.5110750369641213,0.12354193344061815
CNN1+UBASH3A,2,-3.5462124209548835,-3.992806707326946,-1.3693148846984287
CNN1+UBASH3B,2,-4.104714676640241,-3.5125986899461994,-1.95605602997864
COL2A1+KLF1,2,0.482239852714973,1.8813169377622454,0.3499061265041604
DLX2+SNAI1,2,2.549850578689153,-0.48000039252537463,2.84500117312772
DLX2+ZBTB10,2,3.4094421262117,-2.134584851614587,4.922328526800052
DUSP9+ETS2,2,-1.857508293702137,-0.837579756748692,0.06261516501047877
DUSP9+IGDCC3,2,-2.732799963799679,-2.9617836422088892,0.09599472569825857
DUSP9+KLF1,2,-3.4311240045038067,-2.472128332235764,-1.1032714543193762
DUSP9+MAPK1,2,-0.7555988235939131,1.1635300201650873,0.12423651788056148
DUSP9+PRTG,2,-3.116589552905762,-3.24430737494277,-0.2881002863237359
DUSP9+SNAI1,2,1.5987726661311092,-2.7116318995242787,3.9657741132570243
ELMSAN1+LHX1,2,0.04189186856864637,1.067995354256665,0.35439269168073334
ELMSAN1+MAP2K3,2,-1.6529832405991296,3.1344214697037707,-0.9372086696023489
ELMSAN1+MAP2K6,2,-1.3016611617134806,3.0528794943924864,-0.5112777622297804
ELMSAN1+ZBTB10,2,1.4277754736716008,-1.3838346254690939,3.528750631452018
ETS2+IGDCC3,2,-0.8310657803345288,0.6668169848605598,-0.008893028385782386
ETS2+IKZF3,2,-1.3000272313259162,-3.60947612193806,-1.2415743566131925
ETS2+MAP7D1,2,2.1988208488646976,2.4358779522149567,0.6881312623934612
ETS2+MAPK1,2,4.269759477671879,2.195064821151222,0.8361975522530818
ETS2+PRTG,2,-0.9915634398280623,0.06721560497658799,-0.09261622712102892
ETS2+TGFBR2,2,0.46473629068073374,2.726952428861883,0.25507353303543784
FEV+ISL2,2,-0.07980404025462917,-1.6072319635255132,1.3533345309889209
FEV+MAP7D1,2,-0.8110037652039919,-0.6437055100257226,0.3414255111568069
FOSB+IKZF3,2,-0.7798514734273468,-2.1080458359809127,-1.7024156888237905
FOSB+OSR2,2,5.2344132763465545,1.9939491003490266,-0.8121480639176454
FOSB+PTPN12,2,-1.0953392794289958,0.8531258993490809,-1.0836089995124003
FOSB+UBASH3B,2,0.40711083334992804,1.4676294820902587,-0.7941268059162669
FOXA1+FOXA3,2,0.45949941022460955,-1.623388597463019,2.1214279625960355
FOXA1+FOXF1,2,1.0231155411843311,-0.5190615922601259,2.102587976809706
FOXA1+FOXL2,2,1.7019477564419887,-1.0106931476085095,2.2450630429640994
FOXA1+HOXB9,2,1.4637332906496463,-1.8288901729603284,2.339842257816716
FOXA1+KLF1,2,-0.4498493621715828,0.2630338138174507,0.38895453562468446
FOXA3+FOXF1,2,1.204534661534627,-0.5527442358586684,2.189486838048949
FOXA3+FOXL2,2,3.1541572997303127,-2.6300935021021434,3.548884027967212
FOXA3+HOXB9,2,2.0674873563074256,-2.3495503982017594,2.9334812349455097
FOXF1+FOXL2,2,2.8567322124601118,-1.4966026312211913,2.7706089254732915
FOXF1+HOXB9,2,1.7983828470139003,-0.866803207958174,2.1746371719403927
FOXL2+HOXB9,2,2.733737201945358,-1.9952617433152242,2.708653637937499
FOXL2+MEIS1,2,1.0773510702479532,-0.9346602928595943,1.7750102663657379
FOXL2+POU3F2,2,1.2994509680761044,-2.319737937994598,1.7967606132644092
FOXL2+ZNF318,2,-0.0561985079833142,-0.3941348930230706,0.6549079205146946
HOXC13+ZC3HAV1,2,-0.2822397990908623,0.1738774851613472,0.9659009516761933
IER5L+LYL1,2,-0.4808755427808619,-1.858297401247182,0.9955654987989361
IGDCC3+MAPK1,2,0.05992829894261878,1.6396790504538863,0.19225917158345035
IGDCC3+PRTG,2,-1.8187386907706249,-1.4395310278688889,-0.3121618326465101
IGDCC3+TGFBR2,2,-1.9654358253012203,-0.624990220836167,-0.1434479747443237
IGDCC3+ZBTB25,2,-2.885644187882774,-3.015542063889647,-0.6445078016607313
IKZF3+MAP2K3,2,-3.046548043035517,-2.4664180974485137,-2.100486976344837
IKZF3+MAP2K6,2,-2.584413333217625,-2.6809986774807,-1.5743529411568975
IKZF3+MAPK1,2,-0.3359622095709526,-1.9814277929585216,-1.024077869447543
IRF1+SET,2,-0.5724724707821125,0.6112584861495585,0.5954313215611845
KIF18B+KIF2C,2,-0.904025571797956,1.3422152479991523,0.018187482139119866
KLF1+MAP2K6,2,-2.0661821739731465,1.931823899228789,-1.4641115286035438
KLF1+SET,2,-2.6732672147018217,0.5102600697329935,-1.8682014182516515
KLF1+TGFBR2,2,-2.37557760887749,0.983076381159214,-1.4009200333469134
MAP2K3+MAP2K6,2,-0.9076761414913379,3.4024034198296627,-0.28859605275019323
MAP2K3+SLC38A2,2,-0.6866528447488754,3.7879623513203846,-0.33620401925495125
MAP2K6+SPI1,2,0.6578730547731946,1.2980301767941822,-0.9838007524361585
MAPK1+PRTG,2,-0.24049632806762175,1.2705271763488022,-0.00780562388445567
MAPK1+TGFBR2,2,1.7391302226223901,2.7872241173887415,0.5522244206936251
OSR2+PTPN12,2,-0.19878630279148335,1.8165855691727606,-0.11867981914158446
OSR2+UBASH3B,2,0.2502008513611476,2.4336549739310596,0.12987461022509375
PLK4+STIL,2,0.14791085234860338,-1.0585548756879126,1.0618091990721255
PRTG+TGFBR2,2,-2.2426371516095203,-1.1564128002181753,-0.3496637961935103
PTPN12+PTPN9,2,-2.944522751757219,-1.6875677921069325,-1.335552107755803
PTPN12+SAMD1,2,-2.646880535228227,-2.6287980241801425,-1.1190116584817231
PTPN12+SNAI1,2,-0.3241291577204781,0.6105968161085591,0.9741801808879811
PTPN12+UBASH3A,2,-3.4346696813103166,-2.5715129633748104,-1.4627578976887743
PTPN12+UBASH3B,2,-3.3441380157850134,-2.0798700797033156,-1.5658525634974445
PTPN12+ZBTB10,2,0.0011787563705614713,-1.3924720026919255,2.20100242203692
PTPN12+ZBTB25,2,-3.431022515428405,-2.1006735578136606,-1.5363901541346765
PTPN9+UBASH3B,2,-2.473325508552781,-1.9560999951688502,-0.9187928160352229
RHOXF2BB+SET,2,-1.2187276306780486,-1.2629477054616045,0.26307977441457586
RHOXF2BB+ZBTB25,2,-2.211593011052025,-3.1510377865970747,-0.4663203013007959
S1PR2+SGK1,2,-0.824491706860551,-2.14615927951709,0.7420596709104034
SAMD1+TGFBR2,2,-1.6314082063922384,-1.570895229837647,-0.1954755863232962
SAMD1+UBASH3B,2,-1.9532580803429846,-2.6537070194893366,-0.6739752990198834
SAMD1+ZBTB1,2,-1.521812666726414,-3.2641417135327533,-0.5828501702247326
SGK1+TBX2,2,-1.543554815757143,-1.6383242661828215,-0.049874370972104086
SGK1+TBX3,2,-0.6413382266289839,-0.9590973913625479,0.46867826566780096
SNAI1+UBASH3B,2,-0.45888708218708396,0.16039261939996546,0.9218863144758067
SNAI1+ZBTB10,2,2.9727345262942952,-1.6293148666993849,5.053894176554368
TBX2+TBX3,2,-0.8784143396354384,0.39178798892521693,0.1097694107302306
UBASH3A+UBASH3B,2,-1.8282790267723643,-0.14414169969087962,-0.7313659914988159
UBASH3B+ZBTB25,2,-2.9529728316368002,-1.8691217054980114,-1.1640469650489882
