canonical_perturbation,original_condition,rms_vs_pooled_single_effect,pooled_effect_rms,orientation_effect_rms,total_n_orientation
FOXL2,FOXL2+ctrl,0.007766617766554076,0.046332807603750976,0.04721376141224915,303.0
FOXL2,ctrl+FOXL2,0.010323225769983627,0.046332807603750976,0.04784395293573522,241.0
FOXL2,BETWEEN_ORIENTATIONS,0.01790731560041574,0.046332807603750976,,
HOXB9,HOXB9+ctrl,0.007388895286036792,0.04564599997850331,0.04740481856444168,356.0
HOXB9,ctrl+HOXB9,0.010323249597917977,0.04564599997850331,0.045734684811664456,256.0
HOXB9,BETWEEN_ORIENTATIONS,0.01757970099175463,0.04564599997850331,,
HOXC13,HOXC13+ctrl,0.01430958373281164,0.0675788732105033,0.07197792840046045,151.0
HOXC13,ctrl+HOXC13,0.010659605827238556,0.0675788732105033,0.06569662978044452,192.0
HOXC13,BETWEEN_ORIENTATIONS,0.024685844609500553,0.0675788732105033,,
IER5L,IER5L+ctrl,0.022172088354051753,0.055678136639586165,0.06463860783468847,132.0
IER5L,ctrl+IER5L,0.013096244173619143,0.055678136639586165,0.05555673600100493,195.0
IER5L,BETWEEN_ORIENTATIONS,0.03456766974637367,0.055678136639586165,,
IGDCC3,IGDCC3+ctrl,0.008172655893495256,0.054442614390689946,0.05634461678116335,284.0
IGDCC3,ctrl+IGDCC3,0.009953513484386018,0.054442614390689946,0.05431022591214067,223.0
IGDCC3,BETWEEN_ORIENTATIONS,0.017991681141395707,0.054442614390689946,,
IKZF3,IKZF3+ctrl,0.00744215699633151,0.10844843608997329,0.10593035439113203,374.0
IKZF3,ctrl+IKZF3,0.012565779637782751,0.10844843608997329,0.11228767948936917,209.0
IKZF3,BETWEEN_ORIENTATIONS,0.019848600666839224,0.10844843608997329,,
ISL2,ISL2+ctrl,0.007290575756627558,0.020467707123236416,0.021120326606881287,272.0
ISL2,ctrl+ISL2,0.00953654073861253,0.020467707123236416,0.023554709216561696,213.0
ISL2,BETWEEN_ORIENTATIONS,0.016721068154213363,0.020467707123236416,,
KIF2C,KIF2C+ctrl,0.007892724961068479,0.019409725067093188,0.021318487319782392,270.0
KIF2C,ctrl+KIF2C,0.00861352792713634,0.019409725067093188,0.020585006807228443,248.0
KIF2C,BETWEEN_ORIENTATIONS,0.016390761221988268,0.019409725067093188,,
KLF1,KLF1+ctrl,0.0037917214862045493,0.056845930250141195,0.05753370250569864,997.0
KLF1,ctrl+KLF1,0.0059961851677023245,0.056845930250141195,0.05634671763643858,644.0
KLF1,BETWEEN_ORIENTATIONS,0.009755474461937506,0.056845930250141195,,
MAP2K6,MAP2K6+ctrl,0.006949320101884773,0.02356989410348769,0.025274011048966427,363.0
MAP2K6,ctrl+MAP2K6,0.006758833745356666,0.02356989410348769,0.02389676792827842,378.0
MAP2K6,BETWEEN_ORIENTATIONS,0.0136393971087079,0.02356989410348769,,
MAP7D1,MAP7D1+ctrl,0.008503727278705676,0.022367969235470544,0.024652096896940624,277.0
MAP7D1,ctrl+MAP7D1,0.006494627175628643,0.022367969235470544,0.022988872205445158,358.0
MAP7D1,BETWEEN_ORIENTATIONS,0.014938244341125844,0.022367969235470544,,
MAPK1,MAPK1+ctrl,0.00946452152876115,0.06836102597743964,0.06708823063998397,279.0
MAPK1,ctrl+MAPK1,0.006589415850791134,0.06836102597743964,0.06974388826441137,381.0
MAPK1,BETWEEN_ORIENTATIONS,0.01594779954116515,0.06836102597743964,,
MEIS1,MEIS1+ctrl,0.008374426237824487,0.02405040104948162,0.026219525830630617,292.0
MEIS1,ctrl+MEIS1,0.006165441202095834,0.02405040104948162,0.024226376008703136,390.0
MEIS1,BETWEEN_ORIENTATIONS,0.014493216164163835,0.02405040104948162,,
OSR2,OSR2+ctrl,0.009250225777212745,0.057905043090385674,0.06324356701720968,407.0
OSR2,ctrl+OSR2,0.008227965562592912,0.057905043090385674,0.05421260031314235,451.0
OSR2,BETWEEN_ORIENTATIONS,0.017431301590542524,0.057905043090385674,,
PRTG,PRTG+ctrl,0.008493558868543461,0.061375967035079894,0.06376293843395664,285.0
PRTG,ctrl+PRTG,0.00773545696882176,0.061375967035079894,0.06023030236225988,296.0
PRTG,BETWEEN_ORIENTATIONS,0.01611434521073953,0.061375967035079894,,
PTPN12,PTPN12+ctrl,0.009816390800382508,0.04354726229063518,0.041783264480033194,194.0
PTPN12,ctrl+PTPN12,0.011462970151628114,0.04354726229063518,0.04759235853840379,164.0
PTPN12,BETWEEN_ORIENTATIONS,0.021003793609777503,0.04354726229063518,,
PTPN9,PTPN9+ctrl,0.010755045583914708,0.034845896071503006,0.03456469259280126,164.0
PTPN9,ctrl+PTPN9,0.008725997535549075,0.034845896071503006,0.03672794467987343,199.0
PTPN9,BETWEEN_ORIENTATIONS,0.019108035014437055,0.034845896071503006,,
RUNX1T1,RUNX1T1+ctrl,0.00864867033739981,0.01675256522876749,0.01742358471325035,275.0
RUNX1T1,ctrl+RUNX1T1,0.006326047597397625,0.01675256522876749,0.019022559814107717,356.0
RUNX1T1,BETWEEN_ORIENTATIONS,0.014773262759464468,0.01675256522876749,,
SAMD1,SAMD1+ctrl,0.009052723952522499,0.05383354900347501,0.054895071114355765,252.0
SAMD1,ctrl+SAMD1,0.012280996584141333,0.05383354900347501,0.05552642523326588,178.0
SAMD1,BETWEEN_ORIENTATIONS,0.021195419388637192,0.05383354900347501,,
SET,SET+ctrl,0.0060950831361546035,0.07015378591376682,0.0702533213933422,512.0
SET,ctrl+SET,0.011214634670164167,0.07015378591376682,0.07143409901283793,278.0
SET,BETWEEN_ORIENTATIONS,0.01726883560908538,0.07015378591376682,,
SNAI1,SNAI1+ctrl,0.010264848428158026,0.047997759852240224,0.04419250576048999,220.0
SNAI1,ctrl+SNAI1,0.014172815077723793,0.047997759852240224,0.055704880584295235,160.0
SNAI1,BETWEEN_ORIENTATIONS,0.02419944665906041,0.047997759852240224,,
SPI1,SPI1+ctrl,0.024245836640717833,0.0914001276077545,0.11102041523097238,170.0
SPI1,ctrl+SPI1,0.011956925622990108,0.0914001276077545,0.08272411086811272,336.0
SPI1,BETWEEN_ORIENTATIONS,0.03613858244046406,0.0914001276077545,,
STIL,STIL+ctrl,0.012519795709644963,0.02666991876242673,0.028881571645038996,127.0
STIL,ctrl+STIL,0.01210220292272854,0.02666991876242673,0.03032512795270377,141.0
STIL,BETWEEN_ORIENTATIONS,0.024050014896596344,0.02666991876242673,,
TBX2,TBX2+ctrl,0.008441608237285517,0.05705860207465798,0.05845123373435809,269.0
TBX2,ctrl+TBX2,0.007915074401750138,0.05705860207465798,0.0570350258570255,295.0
TBX2,BETWEEN_ORIENTATIONS,0.016231557399497415,0.05705860207465798,,
TBX3,TBX3+ctrl,0.007642111933677649,0.0635865147257009,0.06307808780042982,289.0
TBX3,ctrl+TBX3,0.007997784834558453,0.0635865147257009,0.06488439076988864,270.0
TBX3,BETWEEN_ORIENTATIONS,0.015441789258940882,0.0635865147257009,,
TGFBR2,TGFBR2+ctrl,0.010610752053817818,0.01821156712092497,0.021002994258712115,209.0
TGFBR2,ctrl+TGFBR2,0.006404103248484344,0.01821156712092497,0.019337810127234664,328.0
TGFBR2,BETWEEN_ORIENTATIONS,0.016839597119834033,0.01821156712092497,,
UBASH3A,UBASH3A+ctrl,0.0066642181161882304,0.01793003409710168,0.020038814816164284,371.0
UBASH3A,ctrl+UBASH3A,0.007599373685121733,0.01793003409710168,0.018456887940378006,315.0
UBASH3A,BETWEEN_ORIENTATIONS,0.01413964750943901,0.01793003409710168,,
UBASH3B,UBASH3B+ctrl,0.006353861387908118,0.03198569576079727,0.03339906835738386,470.0
UBASH3B,ctrl+UBASH3B,0.0060108238721490815,0.03198569576079727,0.03198125194562708,513.0
UBASH3B,BETWEEN_ORIENTATIONS,0.012264908511312083,0.03198569576079727,,
ZBTB1,ZBTB1+ctrl,0.008824555413358014,0.05659050962465175,0.05359277783156393,315.0
ZBTB1,ctrl+ZBTB1,0.01006542608160455,0.05659050962465175,0.0617597321811322,287.0
ZBTB1,BETWEEN_ORIENTATIONS,0.018791896646539966,0.05659050962465175,,
ZBTB25,ZBTB25+ctrl,0.005934829927591578,0.03998337343485157,0.03938812958825252,343.0
ZBTB25,ctrl+ZBTB25,0.008464612824266497,0.03998337343485157,0.04251255383388321,247.0
ZBTB25,BETWEEN_ORIENTATIONS,0.014348711615685699,0.03998337343485157,,
