canonical_perturbation,n_targets,original_condition_labels,n_original_labels,total_n,B_heldout_combination,n_lane_1,n_lane_2,n_lane_3,n_lane_4,n_lane_5,n_lane_6,n_lane_7,n_lane_8
KMT2A,1,KMT2A+ctrl,1,185,train,26,23,31,18,22,26,21,18
LHX1,1,LHX1+ctrl,1,342,train,59,57,35,33,40,34,33,51
LYL1,1,LYL1+ctrl,1,360,train,44,49,53,51,36,52,34,41
MAML2,1,MAML2+ctrl,1,508,train,64,84,48,68,64,60,59,61
MAP2K3,1,MAP2K3+ctrl,1,458,train,58,62,68,60,52,48,48,62
MAP2K3+MAP2K6,2,MAP2K3+MAP2K6,1,458,test,57,46,58,67,57,59,54,60
MAP2K3+SLC38A2,2,MAP2K3+SLC38A2,1,297,train,46,40,32,35,26,35,42,41
MAP2K6,1,MAP2K6+ctrl|ctrl+MAP2K6,2,741,train,107,70,109,97,79,83,78,118
MAP2K6+SPI1,2,MAP2K6+SPI1,1,242,train,35,34,37,27,29,25,28,27
MAP4K3,1,MAP4K3+ctrl,1,299,train,52,42,36,37,30,25,35,42
MAP4K5,1,MAP4K5+ctrl,1,300,train,40,46,48,25,39,26,45,31
MAP7D1,1,MAP7D1+ctrl|ctrl+MAP7D1,2,635,train,96,76,85,59,78,89,72,80
MAPK1,1,MAPK1+ctrl|ctrl+MAPK1,2,660,train,87,87,85,75,89,76,89,72
MAPK1+PRTG,2,MAPK1+PRTG,1,380,validation,50,48,44,41,40,50,41,66
MAPK1+TGFBR2,2,MAPK1+TGFBR2,1,389,train,49,43,45,44,52,63,51,42
MEIS1,1,MEIS1+ctrl|ctrl+MEIS1,2,682,train,92,101,82,75,78,82,92,80
MIDN,1,MIDN+ctrl,1,256,train,28,38,28,27,33,23,30,49
NCL,1,NCL+ctrl,1,197,train,37,27,24,18,23,23,22,23
NIT1,1,NIT1+ctrl,1,165,train,22,18,24,15,27,23,18,18
OSR2,1,OSR2+ctrl|ctrl+OSR2,2,858,train,92,114,117,94,92,110,135,104
OSR2+PTPN12,2,PTPN12+OSR2,1,283,train,38,41,28,27,34,38,25,52
OSR2+UBASH3B,2,UBASH3B+OSR2,1,677,validation,86,91,83,61,83,86,96,91
PLK4,1,PLK4+ctrl,1,97,train,9,13,16,9,13,13,15,9
PLK4+STIL,2,PLK4+STIL,1,66,train,14,10,9,6,7,7,5,8
POU3F2,1,POU3F2+ctrl,1,312,train,41,34,35,33,41,43,47,38
PRDM1,1,PRDM1+ctrl,1,273,train,45,30,34,22,31,40,34,37
PRTG,1,PRTG+ctrl|ctrl+PRTG,2,581,train,71,65,100,49,69,60,76,91
PRTG+TGFBR2,2,TGFBR2+PRTG,1,208,train,35,24,21,23,17,30,22,36
PTPN1,1,PTPN1+ctrl,1,342,train,38,36,40,60,30,40,46,52
PTPN12,1,PTPN12+ctrl|ctrl+PTPN12,2,358,train,45,45,37,41,41,50,51,48
PTPN12+PTPN9,2,PTPN12+PTPN9,1,295,validation,48,37,32,40,36,32,35,35
PTPN12+SAMD1,2,SAMD1+PTPN12,1,292,train,34,38,37,38,28,41,38,38
PTPN12+SNAI1,2,PTPN12+SNAI1,1,244,train,34,31,38,23,29,27,31,31
PTPN12+UBASH3A,2,PTPN12+UBASH3A,1,255,validation,42,30,30,28,28,25,44,28
PTPN12+UBASH3B,2,UBASH3B+PTPN12,1,260,validation,28,29,31,28,29,35,34,46
PTPN12+ZBTB10,2,ZBTB10+PTPN12,1,230,train,37,24,30,20,26,30,31,32
PTPN12+ZBTB25,2,PTPN12+ZBTB25,1,257,train,29,38,36,34,31,25,35,29
PTPN13,1,PTPN13+ctrl,1,226,train,30,38,23,31,26,30,29,19
PTPN9,1,PTPN9+ctrl|ctrl+PTPN9,2,363,train,42,40,51,49,48,43,42,48
PTPN9+UBASH3B,2,UBASH3B+PTPN9,1,282,train,40,34,38,31,43,30,39,27
RHOXF2BB,1,RHOXF2BB+ctrl,1,290,train,41,31,34,40,36,28,52,28
RHOXF2BB+SET,2,RHOXF2BB+SET,1,267,train,22,36,42,33,35,32,26,41
RHOXF2BB+ZBTB25,2,RHOXF2BB+ZBTB25,1,205,train,23,36,27,22,18,23,26,30
RREB1,1,RREB1+ctrl,1,281,train,47,33,34,27,30,27,48,35
RUNX1T1,1,RUNX1T1+ctrl|ctrl+RUNX1T1,2,631,train,92,86,87,83,67,72,71,73
S1PR2,1,S1PR2+ctrl,1,446,train,62,58,55,51,43,53,61,63
S1PR2+SGK1,2,SGK1+S1PR2,1,312,train,43,50,37,34,38,36,39,35
SAMD1,1,SAMD1+ctrl|ctrl+SAMD1,2,430,train,56,50,56,53,46,55,58,56
SAMD1+TGFBR2,2,SAMD1+TGFBR2,1,59,train,11,7,7,5,6,10,6,7
SAMD1+UBASH3B,2,SAMD1+UBASH3B,1,209,validation,30,25,24,22,19,26,27,36
SAMD1+ZBTB1,2,SAMD1+ZBTB1,1,164,train,24,16,23,19,17,16,24,25
SET,1,SET+ctrl|ctrl+SET,2,790,train,105,107,92,89,94,88,108,107
SGK1,1,SGK1+ctrl,1,446,train,58,51,54,55,56,44,72,56
SGK1+TBX2,2,SGK1+TBX2,1,287,train,41,49,24,36,29,29,43,36
SGK1+TBX3,2,SGK1+TBX3,1,243,test,28,25,34,33,28,36,31,28
SLC38A2,1,ctrl+SLC38A2,1,280,train,40,43,35,38,28,24,27,45
SLC4A1,1,SLC4A1+ctrl,1,853,train,103,101,124,108,91,107,117,102
SLC6A9,1,SLC6A9+ctrl,1,441,train,61,55,63,53,33,63,64,49
SNAI1,1,SNAI1+ctrl|ctrl+SNAI1,2,380,train,47,45,63,34,44,52,49,46
SNAI1+UBASH3B,2,SNAI1+UBASH3B,1,256,test,47,33,28,41,23,29,26,29
SNAI1+ZBTB10,2,ZBTB10+SNAI1,1,85,validation,8,17,14,12,7,8,10,9
SPI1,1,SPI1+ctrl|ctrl+SPI1,2,506,train,66,63,54,56,41,66,82,78
STIL,1,STIL+ctrl|ctrl+STIL,2,268,train,30,31,39,33,27,25,44,39
TBX2,1,TBX2+ctrl|ctrl+TBX2,2,564,train,75,68,83,68,60,69,69,72
TBX2+TBX3,2,TBX3+TBX2,1,969,test,125,117,106,120,114,136,135,116
TBX3,1,TBX3+ctrl|ctrl+TBX3,2,559,train,96,63,56,71,66,60,77,70
TGFBR2,1,TGFBR2+ctrl|ctrl+TGFBR2,2,537,train,69,72,69,64,71,61,74,57
TMSB4X,1,TMSB4X+ctrl,1,462,train,60,54,52,45,57,51,73,70
TP73,1,TP73+ctrl,1,218,train,29,26,30,32,20,25,25,31
TSC22D1,1,TSC22D1+ctrl,1,376,train,43,41,53,39,44,56,48,52
UBASH3A,1,UBASH3A+ctrl|ctrl+UBASH3A,2,686,train,105,88,88,78,81,92,78,76
UBASH3A+UBASH3B,2,UBASH3B+UBASH3A,1,426,train,73,44,63,51,43,43,52,57
UBASH3B,1,UBASH3B+ctrl|ctrl+UBASH3B,2,983,train,155,141,137,91,113,122,102,122
UBASH3B+ZBTB25,2,UBASH3B+ZBTB25,1,224,train,35,33,33,16,27,33,26,21
ZBTB1,1,ZBTB1+ctrl|ctrl+ZBTB1,2,602,train,64,80,72,65,81,85,79,76
ZBTB10,1,ZBTB10+ctrl,1,145,train,15,16,21,16,18,22,21,16
ZBTB25,1,ZBTB25+ctrl|ctrl+ZBTB25,2,590,train,80,64,79,62,60,80,82,83
ZC3HAV1,1,ZC3HAV1+ctrl,1,436,train,53,72,65,36,47,54,56,53
ZNF318,1,ZNF318+ctrl,1,541,train,85,54,78,59,56,54,78,77
ctrl,0,ctrl,1,7353,control_split_by_cell,1008,928,863,874,821,976,934,949
