split,canonical_perturbation,n_targets
train,ETS2+MAP7D1,2
train,ETS2+MAPK1,2
train,ETS2+TGFBR2,2
train,FOSB+IKZF3,2
train,FOSB+OSR2,2
train,FOSB+PTPN12,2
train,FOSB+UBASH3B,2
train,FOXA1+FOXA3,2
train,FOXA1+FOXF1,2
train,FOXA1+HOXB9,2
train,FOXL2+ZNF318,2
train,HOXC13+ZC3HAV1,2
train,IGDCC3+PRTG,2
train,IGDCC3+TGFBR2,2
train,IKZF3+MAP2K3,2
train,IKZF3+MAP2K6,2
train,IRF1+SET,2
train,KIF18B+KIF2C,2
train,KLF1+SET,2
train,MAP2K3+SLC38A2,2
train,MAP2K6+SPI1,2
train,MAPK1+TGFBR2,2
train,OSR2+PTPN12,2
train,PLK4+STIL,2
train,PRTG+TGFBR2,2
train,PTPN12+SAMD1,2
train,PTPN12+SNAI1,2
train,PTPN12+ZBTB10,2
train,PTPN12+ZBTB25,2
train,PTPN9+UBASH3B,2
train,RHOXF2BB+SET,2
train,RHOXF2BB+ZBTB25,2
train,S1PR2+SGK1,2
train,SAMD1+TGFBR2,2
train,SAMD1+ZBTB1,2
train,SGK1+TBX2,2
train,UBASH3A+UBASH3B,2
train,UBASH3B+ZBTB25,2
validation,BAK1+KLF1,2
validation,BAK1+TMSB4X,2
validation,BPGM+ZBTB1,2
validation,CBFA2T3+FEV,2
validation,CEBPA+CEBPE,2
validation,CEBPA+ZC3HAV1,2
validation,CEBPB+CEBPE,2
validation,COL2A1+KLF1,2
validation,ETS2+IGDCC3,2
validation,ETS2+PRTG,2
validation,FEV+ISL2,2
validation,FEV+MAP7D1,2
validation,FOXA1+KLF1,2
validation,FOXA3+FOXF1,2
validation,FOXL2+HOXB9,2
validation,IER5L+LYL1,2
validation,IGDCC3+MAPK1,2
validation,IGDCC3+ZBTB25,2
validation,KLF1+TGFBR2,2
validation,MAPK1+PRTG,2
validation,OSR2+UBASH3B,2
validation,PTPN12+PTPN9,2
validation,PTPN12+UBASH3A,2
validation,PTPN12+UBASH3B,2
validation,SAMD1+UBASH3B,2
validation,SNAI1+ZBTB10,2
test,AHR+KLF1,2
test,C3orf72+FOXL2,2
test,CBFA2T3+POU3F2,2
test,CBFA2T3+PRDM1,2
test,CBL+CNN1,2
test,CEBPA+CEBPB,2
test,CEBPB+LYL1,2
test,CEBPE+FOSB,2
test,CEBPE+PTPN12,2
test,CEBPE+SET,2
test,CEBPE+ZC3HAV1,2
test,DLX2+SNAI1,2
test,DUSP9+ETS2,2
test,FOXA1+FOXL2,2
test,FOXA3+FOXL2,2
test,FOXA3+HOXB9,2
test,FOXF1+FOXL2,2
test,FOXF1+HOXB9,2
test,FOXL2+MEIS1,2
test,FOXL2+POU3F2,2
test,IKZF3+MAPK1,2
test,KLF1+MAP2K6,2
test,MAP2K3+MAP2K6,2
test,SGK1+TBX3,2
test,SNAI1+UBASH3B,2
test,TBX2+TBX3,2
